benchmark,design_name,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,log_file
2mm,kernel_2mm,119,0.03639999699999841,100.3653297702541,117,444,208,1763,8161,347,8508,61,0,2mm_log.txt
3mm,kernel_3mm,145,0.03639999699999841,100.3653297702541,143,686,880,2222,9950,477,10427,87,0,3mm_log.txt
atax,kernel_atax,97,0.03639999699999841,100.3653297702541,95,312,70,1489,6465,513,6978,52,0,atax_log.txt
bicg,kernel_bicg,42,0.03639999699999841,100.3653297702541,40,203,4,1017,5904,274,6178,32,0,bicg_log.txt
deriche,kernel_deriche,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23,0,deriche_log.txt
floyd-warshall,kernel_floyd_warshall,21,0.6331999930000212,106.76004604055622,19,142,18,753,1498,139,1637,28,0,floyd-warshall_log.txt
gemm,kernel_gemm,99,0.03639999699999841,100.3653297702541,97,359,27,1675,6882,416,7298,61,0,gemm_log.txt
gemver,kernel_gemver,222,0.03639999699988472,100.36532977025297,220,314,178,2434,6758,712,7470,78,0,gemver_log.txt
gesummv,kernel_gesummv,50,0.03639999699999841,100.3653297702541,48,95,2,786,4931,278,5209,20,0,gesummv_log.txt
jacobi-1d,kernel_jacobi_1d,117,0.03639999699999841,100.3653297702541,115,189,0,1122,5648,339,5987,38,0,jacobi-1d_log.txt
jacobi-2d,kernel_jacobi_2d,70,0.03639999699999841,100.3653297702541,68,213,14,1659,5899,240,6139,56,0,jacobi-2d_log.txt
mvt,kernel_mvt,93,0.03639999699999841,100.3653297702541,91,199,84,1199,5699,309,6008,36,0,mvt_log.txt
nussinov,kernel_nussinov,36,0.12859998700020903,101.30275327543058,34,249,121,1708,2123,208,2331,68,0,nussinov_log.txt
seidel-2d,kernel_seidel_2d,55,8.881784197001252,100.00000000000009,55,98,8,1145,4801,239,5040,28,0,seidel-2d_log.txt
symm,kernel_symm,71,0.03639999699999841,100.3653297702541,69,181,15,1580,6013,213,6226,44,0,symm_log.txt
syr2k,kernel_syr2k,77,0.03639999699999841,100.3653297702541,75,252,27,1666,6193,345,6538,51,0,syr2k_log.txt
syrk,kernel_syrk,98,0.03639999699999841,100.3653297702541,96,324,44,1594,6409,410,6819,55,0,syrk_log.txt
trmm,kernel_trmm,58,0.03639999699999841,100.3653297702541,56,239,64,1355,6320,209,6529,44,0,trmm_log.txt
