benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,experimental_setup,design_name,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,log_file
2mm,MEDIUM,10,ALL_BRAM,1.0,O0,none,kernel_2mm,57,0.03639999699999841,100.3653297702541,57,295,19,1170,7232,208,7440,37,0,2mm_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
2mm,MEDIUM,10,ALL_BRAM,1.0,O2,none,kernel_2mm,117,0.03639999699999841,100.3653297702541,115,412,273,1615,8132,312,8444,53,0,2mm_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
2mm,MEDIUM,10,ALL_BRAM,1.0,O3,none,kernel_2mm,164,0.03639999699999841,100.3653297702541,162,582,503,2607,9053,548,9601,93,0,2mm_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
2mm,MEDIUM,10,ALL_BRAM,1.75,O0,none,kernel_2mm,65,0.017066660666680278,100.17095837552512,65,295,19,1170,7232,208,7440,37,0,2mm_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
2mm,MEDIUM,10,ALL_BRAM,1.75,O2,none,kernel_2mm,137,0.017066660666680278,100.17095837552512,135,412,273,1615,8132,312,8444,53,0,2mm_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
2mm,MEDIUM,10,ALL_BRAM,1.75,O3,none,kernel_2mm,194,0.017066660666680278,100.17095837552512,192,582,503,2607,9053,548,9601,93,0,2mm_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
2mm,MEDIUM,10,LSS,1.0,O0,none,kernel_2mm,57,0.03639999699999841,100.3653297702541,66,295,33,1234,7366,242,7608,39,0,2mm_MEDIUM_clk10_memLSS_dsp1.0_optO0_log.txt
2mm,MEDIUM,10,LSS,1.0,O2,none,kernel_2mm,114,0.03639999699999841,100.3653297702541,131,412,260,1743,8400,446,8846,57,0,2mm_MEDIUM_clk10_memLSS_dsp1.0_optO2_log.txt
2mm,MEDIUM,10,LSS,1.0,O3,none,kernel_2mm,165,0.03639999699999841,100.3653297702541,193,584,478,2800,9389,683,10072,100,0,2mm_MEDIUM_clk10_memLSS_dsp1.0_optO3_log.txt
2mm,MEDIUM,10,LSS,1.75,O0,none,kernel_2mm,65,0.017066660666680278,100.17095837552512,74,295,33,1234,7366,242,7608,39,0,2mm_MEDIUM_clk10_memLSS_dsp1.75_optO0_log.txt
2mm,MEDIUM,10,LSS,1.75,O2,none,kernel_2mm,134,0.017066660666680278,100.17095837552512,151,412,260,1743,8400,446,8846,57,0,2mm_MEDIUM_clk10_memLSS_dsp1.75_optO2_log.txt
2mm,MEDIUM,10,LSS,1.75,O3,none,kernel_2mm,195,0.017066660666680278,100.17095837552512,223,584,478,2800,9389,683,10072,100,0,2mm_MEDIUM_clk10_memLSS_dsp1.75_optO3_log.txt
2mm,MEDIUM,15,ALL_BRAM,1.0,O0,none,kernel_2mm,44,0.049472642666623656,66.887272676003,44,296,11,1106,7232,243,7475,35,0,2mm_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
2mm,MEDIUM,15,ALL_BRAM,1.0,O2,none,kernel_2mm,87,0.049472642666623656,66.887272676003,85,412,128,1487,8132,377,8509,49,0,2mm_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
2mm,MEDIUM,15,ALL_BRAM,1.0,O3,none,kernel_2mm,122,0.049472642666623656,66.887272676003,120,584,164,2415,9121,517,9638,87,0,2mm_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
2mm,MEDIUM,15,ALL_BRAM,1.75,O0,none,kernel_2mm,44,0.049472642666623656,66.887272676003,44,296,11,1106,7232,243,7475,35,0,2mm_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
2mm,MEDIUM,15,ALL_BRAM,1.75,O2,none,kernel_2mm,87,0.049472642666623656,66.887272676003,85,412,128,1487,8132,377,8509,49,0,2mm_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
2mm,MEDIUM,15,ALL_BRAM,1.75,O3,none,kernel_2mm,122,0.049472642666623656,66.887272676003,120,584,164,2415,9121,517,9638,87,0,2mm_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
2mm,MEDIUM,15,LSS,1.0,O0,none,kernel_2mm,45,0.049472642666623656,66.887272676003,52,296,0,1234,7500,276,7776,39,0,2mm_MEDIUM_clk15_memLSS_dsp1.0_optO0_log.txt
2mm,MEDIUM,15,LSS,1.0,O2,none,kernel_2mm,84,0.049472642666623656,66.887272676003,97,412,6,1743,8400,445,8845,57,0,2mm_MEDIUM_clk15_memLSS_dsp1.0_optO2_log.txt
2mm,MEDIUM,15,LSS,1.0,O3,none,kernel_2mm,125,0.049472642666623656,66.887272676003,149,582,6,2800,9321,642,9963,100,0,2mm_MEDIUM_clk15_memLSS_dsp1.0_optO3_log.txt
2mm,MEDIUM,15,LSS,1.75,O0,none,kernel_2mm,45,0.049472642666623656,66.887272676003,52,296,0,1234,7500,276,7776,39,0,2mm_MEDIUM_clk15_memLSS_dsp1.75_optO0_log.txt
2mm,MEDIUM,15,LSS,1.75,O2,none,kernel_2mm,84,0.049472642666623656,66.887272676003,97,412,6,1743,8400,445,8845,57,0,2mm_MEDIUM_clk15_memLSS_dsp1.75_optO2_log.txt
2mm,MEDIUM,15,LSS,1.75,O3,none,kernel_2mm,125,0.049472642666623656,66.887272676003,149,582,6,2800,9321,642,9963,100,0,2mm_MEDIUM_clk15_memLSS_dsp1.75_optO3_log.txt
2mm,SMALL,10,ALL_BRAM,1.0,O0,none,kernel_2mm,56,0.03639999699999841,100.3653297702541,56,320,29,1165,7185,210,7395,39,0,2mm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
2mm,SMALL,10,ALL_BRAM,1.0,O2,none,kernel_2mm,116,0.03639999699999841,100.3653297702541,114,458,228,1730,8199,345,8544,59,0,2mm_SMALL_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
2mm,SMALL,10,ALL_BRAM,1.0,O3,none,kernel_2mm,162,0.03639999699999841,100.3653297702541,160,637,494,2688,9093,583,9676,99,0,2mm_SMALL_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
2mm,SMALL,10,ALL_BRAM,1.75,O0,none,kernel_2mm,64,0.017066660666680278,100.17095837552512,64,320,29,1165,7185,210,7395,39,0,2mm_SMALL_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
