benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,design_name,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,log_file
atax,MEDIUM,10,ALL_BRAM,1.0,O0,kernel_atax,39,0.03639999699999841,100.3653297702541,38,174,6,774,5655,274,5929,27,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
atax,MEDIUM,10,ALL_BRAM,1.0,O2,kernel_atax,97,0.03639999699999841,100.3653297702541,95,321,74,1482,6471,513,6984,53,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
atax,MEDIUM,10,ALL_BRAM,1.0,O3,kernel_atax,107,0.03639999699999841,100.3653297702541,105,385,101,1837,6917,526,7443,68,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
atax,MEDIUM,10,ALL_BRAM,1.75,O0,kernel_atax,43,0.017066660666680278,100.17095837552512,42,174,6,774,5655,274,5929,27,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
atax,MEDIUM,10,ALL_BRAM,1.75,O2,kernel_atax,109,0.017066660666680278,100.17095837552512,107,321,74,1482,6471,513,6984,53,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
atax,MEDIUM,10,ALL_BRAM,1.75,O3,kernel_atax,119,0.017066660666680278,100.17095837552512,117,385,101,1837,6917,526,7443,68,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
atax,MEDIUM,10,LSS,1.0,O0,kernel_atax,40,0.03639999699999841,100.3653297702541,46,174,2,839,5923,239,6162,30,0,atax_MEDIUM_clk10_memLSS_dsp1.0_optO0_log.txt
atax,MEDIUM,10,LSS,1.0,O2,kernel_atax,96,0.03639999699999841,100.3653297702541,116,322,64,1675,6773,515,7288,60,0,atax_MEDIUM_clk10_memLSS_dsp1.0_optO2_log.txt
atax,MEDIUM,10,LSS,1.0,O3,kernel_atax,108,0.03639999699999841,100.3653297702541,133,386,78,2159,7219,645,7864,80,0,atax_MEDIUM_clk10_memLSS_dsp1.0_optO3_log.txt
atax,MEDIUM,10,LSS,1.75,O0,kernel_atax,44,0.017066660666680278,100.17095837552512,50,174,2,839,5923,239,6162,30,0,atax_MEDIUM_clk10_memLSS_dsp1.75_optO0_log.txt
atax,MEDIUM,10,LSS,1.75,O2,kernel_atax,108,0.017066660666680278,100.17095837552512,128,322,64,1675,6773,515,7288,60,0,atax_MEDIUM_clk10_memLSS_dsp1.75_optO2_log.txt
atax,MEDIUM,10,LSS,1.75,O3,kernel_atax,120,0.017066660666680278,100.17095837552512,145,386,78,2159,7219,645,7864,80,0,atax_MEDIUM_clk10_memLSS_dsp1.75_optO3_log.txt
atax,MEDIUM,15,ALL_BRAM,1.0,O0,kernel_atax,31,0.0494726426666805,66.88727267600325,30,174,0,710,5655,206,5861,25,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
atax,MEDIUM,15,ALL_BRAM,1.0,O2,kernel_atax,75,0.049472642666623656,66.887272676003,73,324,17,1354,6573,443,7016,49,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
atax,MEDIUM,15,ALL_BRAM,1.0,O3,kernel_atax,85,0.049472642666623656,66.887272676003,83,388,19,1709,7019,447,7466,64,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
atax,MEDIUM,15,ALL_BRAM,1.75,O0,kernel_atax,31,0.0494726426666805,66.88727267600325,30,174,0,710,5655,206,5861,25,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
atax,MEDIUM,15,ALL_BRAM,1.75,O2,kernel_atax,75,0.049472642666623656,66.887272676003,73,324,17,1354,6573,443,7016,49,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
atax,MEDIUM,15,ALL_BRAM,1.75,O3,kernel_atax,85,0.049472642666623656,66.887272676003,83,388,19,1709,7019,447,7466,64,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
atax,MEDIUM,15,LSS,1.0,O0,kernel_atax,34,0.0494726426666805,66.88727267600325,40,174,0,839,5923,239,6162,30,0,atax_MEDIUM_clk15_memLSS_dsp1.0_optO0_log.txt
atax,MEDIUM,15,LSS,1.0,O2,kernel_atax,76,0.049472642666623656,66.887272676003,94,321,0,1675,6739,468,7207,60,0,atax_MEDIUM_clk15_memLSS_dsp1.0_optO2_log.txt
atax,MEDIUM,15,LSS,1.0,O3,kernel_atax,88,0.049472642666623656,66.887272676003,111,385,0,2159,7185,587,7772,80,0,atax_MEDIUM_clk15_memLSS_dsp1.0_optO3_log.txt
atax,MEDIUM,15,LSS,1.75,O0,kernel_atax,34,0.0494726426666805,66.88727267600325,40,174,0,839,5923,239,6162,30,0,atax_MEDIUM_clk15_memLSS_dsp1.75_optO0_log.txt
atax,MEDIUM,15,LSS,1.75,O2,kernel_atax,76,0.049472642666623656,66.887272676003,94,321,0,1675,6739,468,7207,60,0,atax_MEDIUM_clk15_memLSS_dsp1.75_optO2_log.txt
atax,MEDIUM,15,LSS,1.75,O3,kernel_atax,88,0.049472642666623656,66.887272676003,111,385,0,2159,7185,587,7772,80,0,atax_MEDIUM_clk15_memLSS_dsp1.75_optO3_log.txt
atax,SMALL,10,ALL_BRAM,1.0,O0,kernel_atax,37,0.03639999699999841,100.3653297702541,36,146,0,646,5500,206,5706,20,0,atax_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
