benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,experimental_setup,design_name,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,log_file
atax,MEDIUM,10,default,default,default,BAMBU-AREA,kernel_atax,41,8.881784197001252,100.00000000000009,39,158,4,752,5580,140,5720,24,0,atax_MEDIUM_clk10_setupBAMBU-AREA_log.txt
atax,MEDIUM,10,default,default,default,BAMBU-BALANCED,kernel_atax,103,0.03639999699999841,100.3653297702541,101,320,53,1514,6471,387,6858,54,0,atax_MEDIUM_clk10_setupBAMBU-BALANCED_log.txt
atax,MEDIUM,10,default,default,default,BAMBU-PERFORMANCE,kernel_atax,117,0.03639999699999841,100.3653297702541,115,384,72,1901,6917,476,7393,70,0,atax_MEDIUM_clk10_setupBAMBU-PERFORMANCE_log.txt
atax,SMALL,10,default,default,default,BAMBU-AREA,kernel_atax,41,8.881784197001252,100.00000000000009,39,139,0,708,5498,174,5672,20,0,atax_SMALL_clk10_setupBAMBU-AREA_log.txt
atax,SMALL,10,default,default,default,BAMBU-BALANCED,kernel_atax,103,0.03639999699999841,100.3653297702541,101,281,5,1476,6275,387,6662,50,0,atax_SMALL_clk10_setupBAMBU-BALANCED_log.txt
atax,SMALL,10,default,default,default,BAMBU-PERFORMANCE,kernel_atax,117,0.03639999699999841,100.3653297702541,115,345,7,1863,6721,476,7197,66,0,atax_SMALL_clk10_setupBAMBU-PERFORMANCE_log.txt
bicg,MEDIUM,10,default,default,default,BAMBU-AREA,kernel_bicg,42,8.881784197001252,100.00000000000009,40,141,0,661,5509,105,5614,20,0,bicg_MEDIUM_clk10_setupBAMBU-AREA_log.txt
bicg,MEDIUM,10,default,default,default,BAMBU-BALANCED,kernel_bicg,47,0.03639999699999841,100.3653297702541,45,210,0,983,5877,205,6082,33,0,bicg_MEDIUM_clk10_setupBAMBU-BALANCED_log.txt
bicg,MEDIUM,10,default,default,default,BAMBU-PERFORMANCE,kernel_bicg,60,0.03639999699999841,100.3653297702541,58,270,5,1338,6327,262,6589,48,0,bicg_MEDIUM_clk10_setupBAMBU-PERFORMANCE_log.txt
bicg,SMALL,10,default,default,default,BAMBU-AREA,kernel_bicg,42,8.881784197001252,100.00000000000009,40,136,0,663,5505,105,5610,20,0,bicg_SMALL_clk10_setupBAMBU-AREA_log.txt
bicg,SMALL,10,default,default,default,BAMBU-BALANCED,kernel_bicg,47,0.03639999699999841,100.3653297702541,45,205,0,985,5873,205,6078,33,0,bicg_SMALL_clk10_setupBAMBU-BALANCED_log.txt
bicg,SMALL,10,default,default,default,BAMBU-PERFORMANCE,kernel_bicg,60,0.03639999699999841,100.3653297702541,58,265,5,1340,6323,262,6585,48,0,bicg_SMALL_clk10_setupBAMBU-PERFORMANCE_log.txt
gemm,MEDIUM,10,default,default,default,BAMBU-AREA,kernel_gemm,43,8.881784197001252,100.00000000000009,41,197,0,987,6224,139,6363,29,0,gemm_MEDIUM_clk10_setupBAMBU-AREA_log.txt
gemm,MEDIUM,10,default,default,default,BAMBU-BALANCED,kernel_gemm,98,0.03639999699999841,100.3653297702541,96,331,16,1652,6862,307,7169,57,0,gemm_MEDIUM_clk10_setupBAMBU-BALANCED_log.txt
gemm,MEDIUM,10,default,default,default,BAMBU-PERFORMANCE,kernel_gemm,107,0.03639999699999841,100.3653297702541,105,380,66,2129,13295,344,13639,71,0,gemm_MEDIUM_clk10_setupBAMBU-PERFORMANCE_log.txt
gemm,SMALL,10,default,default,default,BAMBU-AREA,kernel_gemm,43,8.881784197001252,100.00000000000009,41,212,0,989,6236,139,6375,29,0,gemm_SMALL_clk10_setupBAMBU-AREA_log.txt
gemm,SMALL,10,default,default,default,BAMBU-BALANCED,kernel_gemm,98,0.03639999699999841,100.3653297702541,96,352,16,1656,6878,307,7185,57,0,gemm_SMALL_clk10_setupBAMBU-BALANCED_log.txt
gemm,SMALL,10,default,default,default,BAMBU-PERFORMANCE,kernel_gemm,107,0.03639999699999841,100.3653297702541,105,406,66,2134,13315,344,13659,71,0,gemm_SMALL_clk10_setupBAMBU-PERFORMANCE_log.txt
