benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers
2mm,MEDIUM,10,ALL_BRAM,1.0,O0,57,0.0363999969999984,100.3653297702541,57,295,19,1170,7232,208,7440,37
2mm,MEDIUM,10,ALL_BRAM,1.0,O2,117,0.0363999969999984,100.3653297702541,115,412,273,1615,8132,312,8444,53
2mm,MEDIUM,10,ALL_BRAM,1.0,O3,164,0.0363999969999984,100.3653297702541,162,582,503,2607,9053,548,9601,93
2mm,MEDIUM,10,ALL_BRAM,1.75,O0,65,0.0170666606666802,100.17095837552512,65,295,19,1170,7232,208,7440,37
2mm,MEDIUM,10,ALL_BRAM,1.75,O2,137,0.0170666606666802,100.17095837552512,135,412,273,1615,8132,312,8444,53
2mm,MEDIUM,10,ALL_BRAM,1.75,O3,194,0.0170666606666802,100.17095837552512,192,582,503,2607,9053,548,9601,93
2mm,MEDIUM,10,LSS,1.0,O0,57,0.0363999969999984,100.3653297702541,66,295,33,1234,7366,242,7608,39
2mm,MEDIUM,10,LSS,1.0,O2,114,0.0363999969999984,100.3653297702541,131,412,260,1743,8400,446,8846,57
2mm,MEDIUM,10,LSS,1.0,O3,165,0.0363999969999984,100.3653297702541,193,584,478,2800,9389,683,10072,100
2mm,MEDIUM,10,LSS,1.75,O0,65,0.0170666606666802,100.17095837552512,74,295,33,1234,7366,242,7608,39
2mm,MEDIUM,10,LSS,1.75,O2,134,0.0170666606666802,100.17095837552512,151,412,260,1743,8400,446,8846,57
2mm,MEDIUM,10,LSS,1.75,O3,195,0.0170666606666802,100.17095837552512,223,584,478,2800,9389,683,10072,100
2mm,MEDIUM,15,ALL_BRAM,1.0,O0,44,0.0494726426666236,66.887272676003,44,296,11,1106,7232,243,7475,35
2mm,MEDIUM,15,ALL_BRAM,1.0,O2,87,0.0494726426666236,66.887272676003,85,412,128,1487,8132,377,8509,49
2mm,MEDIUM,15,ALL_BRAM,1.0,O3,122,0.0494726426666236,66.887272676003,120,584,164,2415,9121,517,9638,87
2mm,MEDIUM,15,ALL_BRAM,1.75,O0,44,0.0494726426666236,66.887272676003,44,296,11,1106,7232,243,7475,35
2mm,MEDIUM,15,ALL_BRAM,1.75,O2,87,0.0494726426666236,66.887272676003,85,412,128,1487,8132,377,8509,49
2mm,MEDIUM,15,ALL_BRAM,1.75,O3,122,0.0494726426666236,66.887272676003,120,584,164,2415,9121,517,9638,87
2mm,MEDIUM,15,LSS,1.0,O0,45,0.0494726426666236,66.887272676003,52,296,0,1234,7500,276,7776,39
2mm,MEDIUM,15,LSS,1.0,O2,84,0.0494726426666236,66.887272676003,97,412,6,1743,8400,445,8845,57
2mm,MEDIUM,15,LSS,1.0,O3,125,0.0494726426666236,66.887272676003,149,582,6,2800,9321,642,9963,100
2mm,MEDIUM,15,LSS,1.75,O0,45,0.0494726426666236,66.887272676003,52,296,0,1234,7500,276,7776,39
2mm,MEDIUM,15,LSS,1.75,O2,84,0.0494726426666236,66.887272676003,97,412,6,1743,8400,445,8845,57
2mm,MEDIUM,15,LSS,1.75,O3,125,0.0494726426666236,66.887272676003,149,582,6,2800,9321,642,9963,100
2mm,SMALL,10,ALL_BRAM,1.0,O0,56,0.0363999969999984,100.3653297702541,56,320,29,1165,7185,210,7395,39
2mm,SMALL,10,ALL_BRAM,1.0,O2,116,0.0363999969999984,100.3653297702541,114,458,228,1730,8199,345,8544,59
2mm,SMALL,10,ALL_BRAM,1.0,O3,162,0.0363999969999984,100.3653297702541,160,637,494,2688,9093,583,9676,99
2mm,SMALL,10,ALL_BRAM,1.75,O0,64,0.0170666606666802,100.17095837552512,64,320,29,1165,7185,210,7395,39
2mm,SMALL,10,ALL_BRAM,1.75,O2,136,0.0170666606666802,100.17095837552512,134,458,228,1730,8199,345,8544,59
2mm,SMALL,10,ALL_BRAM,1.75,O3,192,0.0170666606666802,100.17095837552512,190,637,494,2688,9093,583,9676,99
2mm,SMALL,10,LSS,1.0,O0,56,0.0363999969999984,100.3653297702541,64,321,32,1229,7453,280,7733,41
2mm,SMALL,10,LSS,1.0,O2,112,0.0363999969999984,100.3653297702541,127,458,185,1858,8467,479,8946,63
2mm,SMALL,10,LSS,1.0,O3,163,0.0363999969999984,100.3653297702541,189,638,343,2881,9395,655,10050,106
2mm,SMALL,10,LSS,1.75,O0,64,0.0170666606666802,100.17095837552512,72,321,32,1229,7453,280,7733,41
2mm,SMALL,10,LSS,1.75,O2,132,0.0170666606666802,100.17095837552512,147,458,185,1858,8467,479,8946,63
2mm,SMALL,10,LSS,1.75,O3,193,0.0170666606666802,100.17095837552512,219,638,343,2881,9395,655,10050,106
2mm,SMALL,15,ALL_BRAM,1.0,O0,44,0.0494726426666236,66.887272676003,44,321,8,1101,7185,243,7428,37
2mm,SMALL,15,ALL_BRAM,1.0,O2,87,0.0494726426666236,66.887272676003,85,458,42,1602,8199,377,8576,55
2mm,SMALL,15,ALL_BRAM,1.0,O3,122,0.0494726426666236,66.887272676003,120,638,63,2496,9127,517,9644,93
2mm,SMALL,15,ALL_BRAM,1.75,O0,44,0.0494726426666236,66.887272676003,44,321,8,1101,7185,243,7428,37
2mm,SMALL,15,ALL_BRAM,1.75,O2,87,0.0494726426666236,66.887272676003,85,458,42,1602,8199,377,8576,55
2mm,SMALL,15,ALL_BRAM,1.75,O3,122,0.0494726426666236,66.887272676003,120,638,63,2496,9127,517,9644,93
2mm,SMALL,15,LSS,1.0,O0,45,0.0494726426666236,66.887272676003,52,321,0,1229,7453,276,7729,41
2mm,SMALL,15,LSS,1.0,O2,84,0.0494726426666236,66.887272676003,97,457,0,1858,8433,445,8878,63
2mm,SMALL,15,LSS,1.0,O3,125,0.0494726426666236,66.887272676003,149,635,0,2881,9293,642,9935,106
2mm,SMALL,15,LSS,1.75,O0,45,0.0494726426666236,66.887272676003,52,321,0,1229,7453,276,7729,41
2mm,SMALL,15,LSS,1.75,O2,84,0.0494726426666236,66.887272676003,97,457,0,1858,8433,445,8878,63
2mm,SMALL,15,LSS,1.75,O3,125,0.0494726426666236,66.887272676003,149,635,0,2881,9293,642,9935,106
3mm,MEDIUM,10,ALL_BRAM,1.0,O0,67,0.0363999969999984,100.3653297702541,68,396,52,1567,8261,171,8432,55
3mm,MEDIUM,10,ALL_BRAM,1.0,O2,145,0.0363999969999984,100.3653297702541,143,591,722,2258,9770,477,10247,83
3mm,MEDIUM,10,ALL_BRAM,1.0,O3,168,0.0363999969999984,100.3653297702541,166,848,1208,3431,11141,573,11714,130
3mm,MEDIUM,10,ALL_BRAM,1.75,O0,73,0.0170666606666802,100.17095837552512,74,396,52,1567,8261,171,8432,55
3mm,MEDIUM,10,ALL_BRAM,1.75,O2,163,0.0170666606666802,100.17095837552512,161,591,722,2258,9770,477,10247,83
3mm,MEDIUM,10,ALL_BRAM,1.75,O3,186,0.0170666606666802,100.17095837552512,184,848,1208,3431,11141,573,11714,130
3mm,MEDIUM,10,LSS,1.0,O0,67,0.0363999969999984,100.3653297702541,80,396,87,1663,8395,240,8635,58
3mm,MEDIUM,10,LSS,1.0,O2,139,0.0363999969999984,100.3653297702541,164,591,694,2450,10038,515,10553,89
3mm,MEDIUM,10,LSS,1.0,O3,165,0.0363999969999984,100.3653297702541,199,851,1168,3818,11511,769,12280,145
3mm,MEDIUM,10,LSS,1.75,O0,73,0.0170666606666802,100.17095837552512,86,396,87,1663,8395,240,8635,58
3mm,MEDIUM,10,LSS,1.75,O2,157,0.0170666606666802,100.17095837552512,182,591,694,2450,10038,515,10553,89
3mm,MEDIUM,10,LSS,1.75,O3,183,0.0170666606666802,100.17095837552512,217,851,1168,3818,11511,769,12280,145
3mm,MEDIUM,15,ALL_BRAM,1.0,O0,52,0.0494726426666236,66.887272676003,53,397,31,1471,8261,207,8468,52
3mm,MEDIUM,15,ALL_BRAM,1.0,O2,109,0.0494726426666236,66.887272676003,107,591,352,2066,9770,412,10182,77
3mm,MEDIUM,15,ALL_BRAM,1.0,O3,129,0.0494726426666236,66.887272676003,127,851,420,2983,11243,529,11772,117
3mm,MEDIUM,15,ALL_BRAM,1.75,O0,52,0.0494726426666236,66.887272676003,53,397,31,1471,8261,207,8468,52
3mm,MEDIUM,15,ALL_BRAM,1.75,O2,109,0.0494726426666236,66.887272676003,107,591,352,2066,9770,412,10182,77
3mm,MEDIUM,15,ALL_BRAM,1.75,O3,129,0.0494726426666236,66.887272676003,127,851,420,2983,11243,529,11772,117
3mm,MEDIUM,15,LSS,1.0,O0,55,0.0494726426666236,66.887272676003,65,397,0,1663,8529,306,8835,58
3mm,MEDIUM,15,LSS,1.0,O2,106,0.0494726426666236,66.887272676003,125,591,10,2450,10038,496,10534,89
3mm,MEDIUM,15,LSS,1.0,O3,132,0.0494726426666236,66.887272676003,160,848,10,3754,11409,750,12159,144
3mm,MEDIUM,15,LSS,1.75,O0,55,0.0494726426666236,66.887272676003,65,397,0,1663,8529,306,8835,58
3mm,MEDIUM,15,LSS,1.75,O2,106,0.0494726426666236,66.887272676003,125,591,10,2450,10038,496,10534,89
3mm,MEDIUM,15,LSS,1.75,O3,132,0.0494726426666236,66.887272676003,160,848,10,3754,11409,750,12159,144
3mm,SMALL,10,ALL_BRAM,1.0,O0,67,0.0363999969999984,100.3653297702541,68,428,81,1453,8253,171,8424,52
3mm,SMALL,10,ALL_BRAM,1.0,O2,145,0.0363999969999984,100.3653297702541,143,645,570,2204,9644,477,10121,82
3mm,SMALL,10,ALL_BRAM,1.0,O3,168,0.0363999969999984,100.3653297702541,166,919,1065,3378,11028,573,11601,130
3mm,SMALL,10,ALL_BRAM,1.75,O0,73,0.0170666606666802,100.17095837552512,74,428,81,1453,8253,171,8424,52
3mm,SMALL,10,ALL_BRAM,1.75,O2,163,0.0170666606666802,100.17095837552512,161,645,570,2204,9644,477,10121,82
3mm,SMALL,10,ALL_BRAM,1.75,O3,186,0.0170666606666802,100.17095837552512,184,919,1065,3378,11028,573,11601,130
3mm,SMALL,10,LSS,1.0,O0,67,0.0363999969999984,100.3653297702541,80,428,129,1549,8387,240,8627,55
3mm,SMALL,10,LSS,1.0,O2,139,0.0363999969999984,100.3653297702541,164,645,615,2396,9912,515,10427,88
3mm,SMALL,10,LSS,1.0,O3,165,0.0363999969999984,100.3653297702541,199,922,1178,3765,11398,769,12167,145
3mm,SMALL,10,LSS,1.75,O0,73,0.0170666606666802,100.17095837552512,86,428,129,1549,8387,240,8627,55
3mm,SMALL,10,LSS,1.75,O2,157,0.0170666606666802,100.17095837552512,182,645,615,2396,9912,515,10427,88
3mm,SMALL,10,LSS,1.75,O3,183,0.0170666606666802,100.17095837552512,217,922,1178,3765,11398,769,12167,145
3mm,SMALL,15,ALL_BRAM,1.0,O0,52,0.0494726426666236,66.887272676003,53,429,58,1357,8253,207,8460,49
3mm,SMALL,15,ALL_BRAM,1.0,O2,109,0.0494726426666236,66.887272676003,107,645,299,2012,9644,412,10056,76
3mm,SMALL,15,ALL_BRAM,1.0,O3,129,0.0494726426666236,66.887272676003,127,922,393,2930,11130,529,11659,117
3mm,SMALL,15,ALL_BRAM,1.75,O0,52,0.0494726426666236,66.887272676003,53,429,58,1357,8253,207,8460,49
3mm,SMALL,15,ALL_BRAM,1.75,O2,109,0.0494726426666236,66.887272676003,107,645,299,2012,9644,412,10056,76
3mm,SMALL,15,ALL_BRAM,1.75,O3,129,0.0494726426666236,66.887272676003,127,922,393,2930,11130,529,11659,117
3mm,SMALL,15,LSS,1.0,O0,55,0.0494726426666236,66.887272676003,65,429,2,1549,8521,306,8827,55
3mm,SMALL,15,LSS,1.0,O2,106,0.0494726426666236,66.887272676003,125,645,12,2396,9912,496,10408,88
3mm,SMALL,15,LSS,1.0,O3,132,0.0494726426666236,66.887272676003,160,919,12,3701,11296,750,12046,144
3mm,SMALL,15,LSS,1.75,O0,55,0.0494726426666236,66.887272676003,65,429,2,1549,8521,306,8827,55
3mm,SMALL,15,LSS,1.75,O2,106,0.0494726426666236,66.887272676003,125,645,12,2396,9912,496,10408,88
3mm,SMALL,15,LSS,1.75,O3,132,0.0494726426666236,66.887272676003,160,919,12,3701,11296,750,12046,144
atax,MEDIUM,10,ALL_BRAM,1.0,O0,39,0.0363999969999984,100.3653297702541,38,174,6,774,5655,274,5929,27
atax,MEDIUM,10,ALL_BRAM,1.0,O2,97,0.0363999969999984,100.3653297702541,95,321,74,1482,6471,513,6984,53
atax,MEDIUM,10,ALL_BRAM,1.0,O3,107,0.0363999969999984,100.3653297702541,105,385,101,1837,6917,526,7443,68
atax,MEDIUM,10,ALL_BRAM,1.75,O0,43,0.0170666606666802,100.17095837552512,42,174,6,774,5655,274,5929,27
