clock_period,dsp_coeff,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,source_lines,num_for_loops,num_while_loops,num_total_loops,max_loop_depth,num_if_statements,num_array_accesses,num_add_ops,num_sub_ops,num_mul_ops,num_div_ops,num_arithmetic_ops,num_assignments,num_function_calls,num_var_decls,yosys_selected_module,yosys_num_wires,yosys_num_wire_bits,yosys_num_pub_wires,yosys_num_pub_wire_bits,yosys_num_memories,yosys_num_memory_bits,yosys_num_processes,yosys_num_cells,yosys_total_modules,yosys_total_wires,yosys_total_wire_bits,yosys_total_pub_wires,yosys_total_pub_wire_bits,yosys_total_memories,yosys_total_memory_bits,yosys_total_processes,yosys_total_cells,openroad_clock_constraint,config_parse_status,openroad_run_status,openroad_parse_status,openroad_tns,openroad_wns,openroad_worst_slack,openroad_clock_period_min,openroad_fmax,openroad_critical_path_delay,openroad_critical_path_slack,openroad_setup_violation_count,openroad_hold_violation_count,openroad_max_slew_violation_count,openroad_max_cap_violation_count,openroad_total_power,openroad_synth_chip_area,benchmark_2mm,benchmark_3mm,benchmark_atax,benchmark_bicg,benchmark_deriche,benchmark_floyd-warshall,benchmark_gemm,benchmark_gemver,benchmark_gesummv,benchmark_jacobi-1d,benchmark_jacobi-2d,benchmark_mvt,benchmark_nussinov,benchmark_seidel-2d,benchmark_symm,benchmark_syr2k,benchmark_syrk,benchmark_trmm,dataset_size_MEDIUM,dataset_size_SMALL,mem_policy_ALL_BRAM,mem_policy_LSS,opt_level_O0,opt_level_O2,opt_level_O3
10,1.0,57,0.0363999969999984,100.3653297702541,57,295,19,1170,7232,208,7440,37,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
10,1.0,117,0.0363999969999984,100.3653297702541,115,412,273,1615,8132,312,8444,53,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
10,1.0,164,0.0363999969999984,100.3653297702541,162,582,503,2607,9053,548,9601,93,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
10,1.75,65,0.0170666606666802,100.17095837552512,65,295,19,1170,7232,208,7440,37,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
10,1.75,137,0.0170666606666802,100.17095837552512,135,412,273,1615,8132,312,8444,53,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
10,1.75,194,0.0170666606666802,100.17095837552512,192,582,503,2607,9053,548,9601,93,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
10,1.0,57,0.0363999969999984,100.3653297702541,66,295,33,1234,7366,242,7608,39,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
10,1.0,114,0.0363999969999984,100.3653297702541,131,412,260,1743,8400,446,8846,57,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
10,1.0,165,0.0363999969999984,100.3653297702541,193,584,478,2800,9389,683,10072,100,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10,1.75,65,0.0170666606666802,100.17095837552512,74,295,33,1234,7366,242,7608,39,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
