feature,correlation_with_openroad_critical_path_delay
openroad_critical_path_delay,1.0
openroad_clock_period_min,0.991275248089905
yosys_total_pub_wires,0.7806343242268877
yosys_total_pub_wire_bits,0.7806343242268874
yosys_num_pub_wire_bits,0.7806343242268865
yosys_num_wire_bits,0.7806343242268865
yosys_num_wires,0.7806343242268865
yosys_num_pub_wires,0.7806343242268865
yosys_total_wire_bits,0.7806343242268862
yosys_total_wires,0.7806343242268822
openroad_synth_chip_area,0.7064891345833683
area_est,0.6056880041065765
total_area,0.6008295143327317
num_var_decls,0.3021729104847285
states,0.286843016022183
control_steps,0.286026714200432
openroad_clock_constraint,0.2803170016197926
modules_instantiated,0.2717005264017284
num_total_loops,0.2420601388672343
num_for_loops,0.2420601388672343
num_mul_ops,0.1810922953718737
num_assignments,0.17275803970018627
performance_conflicts,0.16613793523371137
flipflops,0.11330934013907189
registers,0.10415623907679525
source_lines,0.08077318724691661
num_div_ops,0.059317482430429586
num_function_calls,0.05308954309687634
mux_area,0.049411669228714476
num_arithmetic_ops,-0.043846905140777145
openroad_max_cap_violation_count,-0.06963783206083977
num_sub_ops,-0.12625171230186513
max_loop_depth,-0.15902056881040708
num_array_accesses,-0.191265911202859
num_add_ops,-0.19441842290717842
min_slack,-0.22067706472206342
openroad_total_power,-0.37957486814022906
openroad_worst_slack,-0.402433273658892
openroad_critical_path_slack,-0.4027419406744171
num_if_statements,-0.407328123437149
frequency_mhz,-0.5750140001416963
yosys_total_modules,-0.7806343242268866
yosys_total_cells,-0.7806343242268973
openroad_fmax,-0.9865297797617245
