feature,correlation_with_total_area
total_area,1.0
area_est,0.9984241870740793
openroad_synth_chip_area,0.8398820679499942
yosys_total_modules,0.7985930903311397
yosys_total_pub_wires,0.7858114642977737
yosys_total_wires,0.7709996966794868
yosys_total_cells,0.7699493811794473
yosys_total_pub_wire_bits,0.7403536068204535
yosys_num_pub_wires,0.7095581101567139
yosys_num_wires,0.7095581101567139
modules_instantiated,0.7037368085427793
mux_area,0.7035069938126387
flipflops,0.6922935430334963
states,0.691011058510562
control_steps,0.6874305576816326
registers,0.6339182340569607
num_var_decls,0.6293750768627648
openroad_critical_path_delay,0.6008295143327317
yosys_total_wire_bits,0.5502227412265464
openroad_clock_period_min,0.5208811256682537
num_div_ops,0.46725182212958744
performance_conflicts,0.4499154965484987
yosys_num_pub_wire_bits,0.44006236875254695
yosys_num_wire_bits,0.44006236875254695
num_total_loops,0.3871390064740597
num_for_loops,0.3871390064740597
source_lines,0.23883746588959215
openroad_total_power,0.16450211569771783
num_function_calls,0.12393180427670657
max_loop_depth,0.007787993403044352
dsp_coeff,-0.0002486275633275581
clock_period,-0.0017680102129995626
openroad_max_cap_violation_count,-0.023159326548724428
num_mul_ops,-0.03888239355586768
num_assignments,-0.07117421739086294
openroad_clock_constraint,-0.12995364238384213
num_array_accesses,-0.25597581906660427
frequency_mhz,-0.26419443002379006
num_arithmetic_ops,-0.2642926416994124
min_slack,-0.3610226270396054
num_add_ops,-0.41188345279629585
openroad_critical_path_slack,-0.48435902950751014
openroad_worst_slack,-0.4845476240324453
num_if_statements,-0.5151934322628109
num_sub_ops,-0.5375515080022081
openroad_fmax,-0.5894671972059936
