feature,importance
states,0.9771522741482603
mem_policy_LSS,0.006483095766820605
mem_policy_ALL_BRAM,0.005271982102658257
total_area,0.004130295047104186
mux_area,0.0020827284197621385
flipflops,0.0014645638365751834
modules_instantiated,0.001081087913288897
area_est,0.0008813366414270726
benchmark_deriche,0.0005271691142140322
min_slack,0.00022886981788022766
benchmark_bicg,0.00016571842830795424
registers,0.00011057623431756281
performance_conflicts,0.00010498070576854185
frequency_mhz,7.111972122784917e-05
benchmark_nussinov,5.414257522350955e-05
benchmark_symm,4.49298871545553e-05
benchmark_atax,4.051751030962937e-05
benchmark_syr2k,2.235371840116213e-05
benchmark_2mm,1.7570850576514867e-05
benchmark_syrk,1.3205657674704686e-05
clock_period,1.1900638881515262e-05
benchmark_jacobi-2d,1.1463458737812905e-05
dsp_coeff,8.90290363672757e-06
benchmark_jacobi-1d,7.244850421104116e-06
benchmark_mvt,6.292504503673596e-06
benchmark_3mm,2.2531563968620395e-06
dataset_size_SMALL,1.7734332871066997e-06
benchmark_gemm,1.5975163162831094e-06
opt_level_O2,5.3440866034438876e-08
benchmark_trmm,0.0
dataset_size_MEDIUM,0.0
benchmark_seidel-2d,0.0
benchmark_gemver,0.0
benchmark_floyd-warshall,0.0
benchmark_gesummv,0.0
opt_level_O0,0.0
opt_level_O3,0.0
