feature,importance
states,0.9830129263306188
mem_policy_LSS,0.004105880164012605
mem_policy_ALL_BRAM,0.003737071786204002
mux_area,0.0007634601251982101
min_slack,0.0006585573435580649
area_est,0.000538753653202779
total_area,0.0005350283360716807
performance_conflicts,0.0004745620510180195
flipflops,0.0004696998043021788
num_mul_ops,0.00046144144124596315
registers,0.0004232008595741663
num_arithmetic_ops,0.0004068855701841427
modules_instantiated,0.00036578649117346344
num_add_ops,0.00036510556496315976
frequency_mhz,0.0003546136214890404
source_lines,0.00029530488201583844
num_array_accesses,0.00026492768602006045
num_total_loops,0.00026112680364375943
dsp_coeff,0.00026014435179001646
num_assignments,0.00024212140383402686
num_sub_ops,0.0002296509361325622
num_function_calls,0.00022491745285746587
num_for_loops,0.00022026021875187917
benchmark_deriche,0.00015943499377261657
num_div_ops,0.0001553374613641129
benchmark_nussinov,0.00012822198947334034
max_loop_depth,0.00011192923095098268
opt_level_O0,0.00010233877529841784
num_var_decls,9.9232145432245e-05
benchmark_symm,8.514576001000621e-05
num_if_statements,8.198923245803491e-05
benchmark_bicg,5.5324990403376574e-05
benchmark_syr2k,5.0964529284657805e-05
opt_level_O2,4.89262027987421e-05
clock_period,3.905759104946004e-05
benchmark_gemver,3.527928651991224e-05
opt_level_O3,3.2319334384039724e-05
benchmark_trmm,3.05334718751744e-05
benchmark_2mm,2.446451622329684e-05
benchmark_gemm,2.0568442483646715e-05
benchmark_atax,1.91080185131958e-05
benchmark_syrk,1.1954832698104947e-05
dataset_size_MEDIUM,9.017506678594399e-06
benchmark_3mm,8.974335853897957e-06
benchmark_mvt,5.443052513469019e-06
dataset_size_SMALL,4.671260893013296e-06
benchmark_floyd-warshall,3.4665171776490976e-06
benchmark_seidel-2d,1.7123543912183293e-06
benchmark_gesummv,1.276836847651891e-06
benchmark_jacobi-1d,1.007514545907812e-06
benchmark_jacobi-2d,8.729382432826099e-07
num_while_loops,0.0
