feature,importance
mux_area,0.585531255504058
flipflops,0.1310516402452019
min_slack,0.0705485459981906
total_area,0.04205458916042386
num_if_statements,0.024205082534755746
benchmark_symm,0.019033744859099384
area_est,0.017720947293178614
num_arithmetic_ops,0.016037469495292177
performance_conflicts,0.010336577076791444
num_function_calls,0.009056250997622634
num_add_ops,0.008674606393858341
frequency_mhz,0.008386962017508704
num_sub_ops,0.008386397448616934
num_mul_ops,0.006543521402426584
num_array_accesses,0.006187347550632479
num_var_decls,0.004012602456304288
num_div_ops,0.003673058887649641
clock_period,0.003566104495511839
benchmark_mvt,0.0029754352174301496
opt_level_O0,0.0028567110520335056
benchmark_jacobi-1d,0.0027564842898189024
num_total_loops,0.002362880834594348
opt_level_O3,0.0022385618624345925
num_assignments,0.0020761062067899128
modules_instantiated,0.002033587508196524
registers,0.0018165922417470596
source_lines,0.0015477638656563127
num_for_loops,0.0010561092816597996
opt_level_O2,0.000661405696373578
benchmark_atax,0.0005084741789011289
benchmark_syr2k,0.0004442291912837377
benchmark_gemver,0.00043074071532813086
mem_policy_ALL_BRAM,0.0004239780362668976
mem_policy_LSS,0.0003027254230562604
benchmark_bicg,0.0001687289129298013
dsp_coeff,0.00015704487003182223
benchmark_gesummv,6.537342813490288e-05
benchmark_gemm,4.9005349265432245e-05
benchmark_seidel-2d,4.8732549572623555e-05
benchmark_trmm,7.387148548393807e-06
dataset_size_MEDIUM,5.238322822863336e-06
benchmark_2mm,0.0
benchmark_3mm,0.0
benchmark_syrk,0.0
benchmark_nussinov,0.0
benchmark_floyd-warshall,0.0
benchmark_jacobi-2d,0.0
benchmark_deriche,0.0
dataset_size_SMALL,0.0
max_loop_depth,0.0
num_while_loops,0.0
