feature,importance
mux_area,0.593385738212434
flipflops,0.13587605974242398
total_area,0.04885336549052296
min_slack,0.041997971552559576
area_est,0.018228085114174265
frequency_mhz,0.017443489817111173
num_if_statements,0.016936488288498926
benchmark_symm,0.013569456412193447
num_arithmetic_ops,0.013202939482567724
clock_period,0.011607359817403793
registers,0.010668076954440818
num_function_calls,0.010445449092636202
performance_conflicts,0.008065362378548326
num_add_ops,0.006427794834179325
modules_instantiated,0.006092918322788043
num_array_accesses,0.00577403072413994
num_sub_ops,0.00509113604389254
num_total_loops,0.00342930643497469
num_div_ops,0.0033954240801617806
benchmark_bicg,0.003375866079672394
num_for_loops,0.0029864355336140245
opt_level_O3,0.0028636383786045435
num_assignments,0.0027523485646161693
dsp_coeff,0.002658177577738172
source_lines,0.002334780131067692
num_var_decls,0.002287521152253345
num_mul_ops,0.002136125431045645
benchmark_gemver,0.0017966861341470973
benchmark_mvt,0.0012957341037933199
benchmark_jacobi-1d,0.0012875646041246756
max_loop_depth,0.0007461870871871813
benchmark_nussinov,0.0004202377124622345
benchmark_syr2k,0.00036340945525515495
opt_level_O2,0.0003580694675872476
mem_policy_ALL_BRAM,0.0002653308612317656
benchmark_syrk,0.00023566665316887878
mem_policy_LSS,0.00021441692649312494
benchmark_atax,0.0001965792867339715
benchmark_gemm,0.00017772069090999255
benchmark_2mm,0.0001441367141542446
dataset_size_MEDIUM,0.00014018653320935147
opt_level_O0,0.00010625053673198016
benchmark_floyd-warshall,7.30294220102023e-05
dataset_size_SMALL,6.294953352039035e-05
benchmark_trmm,6.207114447000376e-05
benchmark_jacobi-2d,5.598694197287553e-05
benchmark_3mm,4.5682877140315934e-05
benchmark_deriche,3.130159206395707e-05
benchmark_gesummv,2.6250258799239815e-05
benchmark_seidel-2d,9.205818569299296e-06
num_while_loops,0.0
