feature,importance
area_est,0.9822893002710339
modules_instantiated,0.006554427735522437
registers,0.0052683256917733165
flipflops,0.004498945879886584
mux_area,0.0006136325795313458
states,0.0003161463461887991
mem_policy_ALL_BRAM,8.218131905006583e-05
mem_policy_LSS,7.899635332078883e-05
opt_level_O3,5.131798070319209e-05
performance_conflicts,3.443387697108086e-05
opt_level_O2,3.2723616009501985e-05
control_steps,3.268236532669773e-05
benchmark_gemm,2.92198139739941e-05
opt_level_O0,2.3356237285215702e-05
benchmark_syrk,1.5978119707500306e-05
dataset_size_MEDIUM,1.0549949941230361e-05
dataset_size_SMALL,1.0491031112202294e-05
benchmark_gemver,1.007822192892754e-05
benchmark_bicg,8.378910303797383e-06
min_slack,7.5911787293406145e-06
benchmark_jacobi-2d,7.5500582980743035e-06
frequency_mhz,4.972147848289346e-06
benchmark_trmm,4.831495042210413e-06
benchmark_seidel-2d,2.2026496482782156e-06
benchmark_jacobi-1d,2.187729594488141e-06
benchmark_atax,2.1282067132836784e-06
benchmark_mvt,1.8712793140776036e-06
clock_period,1.8512311298415943e-06
benchmark_syr2k,1.195389413942633e-06
dsp_coeff,7.329061181422619e-07
benchmark_symm,6.90213983924744e-07
benchmark_2mm,6.599789520140993e-07
benchmark_3mm,1.579205599049627e-07
benchmark_nussinov,8.42065111155233e-08
benchmark_gesummv,4.6059179431896716e-08
benchmark_deriche,4.151094425221653e-08
benchmark_floyd-warshall,3.95384488192445e-08
