feature,importance
min_slack,0.6281995753724325
modules_instantiated,0.2605893727371986
benchmark_seidel-2d,0.06697784840842218
registers,0.021325576404824725
flipflops,0.007085152122199766
benchmark_3mm,0.003947655656322505
states,0.003687267969241295
control_steps,0.0026380948063151827
mem_policy_ALL_BRAM,0.0017045173918586638
mem_policy_LSS,0.0010977702878630386
benchmark_2mm,0.0008272294035049083
benchmark_syrk,0.00042268377896877537
benchmark_gemm,0.0003929631074573462
benchmark_nussinov,0.0002970412695612257
opt_level_O0,0.0002650981214424136
frequency_mhz,0.00024289355871041405
benchmark_mvt,6.286587627615117e-05
performance_conflicts,5.5293563863378936e-05
benchmark_jacobi-2d,5.1819094859392334e-05
benchmark_trmm,2.7125104620792625e-05
benchmark_atax,2.4733100066113516e-05
benchmark_floyd-warshall,1.8946487118800386e-05
dataset_size_MEDIUM,1.5093597636150572e-05
dataset_size_SMALL,1.3603810980300826e-05
benchmark_symm,6.978974611659268e-06
opt_level_O2,5.316205741812187e-06
benchmark_jacobi-1d,4.904408163271184e-06
clock_period,3.5820968271141568e-06
benchmark_gemver,2.9812891180704548e-06
benchmark_deriche,2.5930413222357726e-06
opt_level_O3,2.251083666291124e-06
benchmark_syr2k,1.1393135924436784e-06
dsp_coeff,3.2555212506318534e-08
benchmark_bicg,0.0
benchmark_gesummv,0.0
