feature,importance
min_slack,0.6278924150476254
modules_instantiated,0.2613056298643621
benchmark_seidel-2d,0.02561589877014082
source_lines,0.024823285814213183
control_steps,0.02346083174762204
registers,0.0130040650946843
flipflops,0.00921155153621285
num_assignments,0.0030191331448212243
num_total_loops,0.0029366258859191796
num_var_decls,0.002414091640065765
mem_policy_LSS,0.0015128926880352935
mem_policy_ALL_BRAM,0.0013892700005869712
num_for_loops,0.001200733326211058
states,0.0006077216114761078
num_arithmetic_ops,0.0003030667647904329
num_mul_ops,0.00016728768543953034
num_array_accesses,0.00016459769852282524
num_add_ops,0.0001630280193802482
performance_conflicts,0.00012336095893562823
num_function_calls,0.00011437267703965961
benchmark_3mm,9.998638067174433e-05
opt_level_O3,5.4973069010319164e-05
opt_level_O0,4.5981542654385896e-05
num_if_statements,4.446390611199357e-05
num_div_ops,4.2713918092241367e-05
opt_level_O2,4.145427117712841e-05
dataset_size_MEDIUM,3.97055057181079e-05
dataset_size_SMALL,3.830104018653607e-05
benchmark_2mm,3.456761200567216e-05
num_sub_ops,3.077173031346808e-05
benchmark_gemm,1.80539012563735e-05
frequency_mhz,1.3748378133738263e-05
benchmark_jacobi-2d,1.3739563683173097e-05
benchmark_syrk,8.61487322616226e-06
clock_period,7.860158078582455e-06
benchmark_syr2k,6.1796851686563665e-06
benchmark_trmm,5.3177886708876735e-06
max_loop_depth,5.119316173427579e-06
benchmark_bicg,5.058532402470197e-06
dsp_coeff,4.466192869232367e-06
benchmark_atax,3.259994443105713e-06
benchmark_gemver,1.4984839940596585e-06
benchmark_mvt,1.246929688731276e-06
benchmark_jacobi-1d,9.620881639360635e-07
benchmark_symm,7.97361081770303e-07
benchmark_gesummv,6.051731935751143e-07
benchmark_nussinov,4.5249672000485326e-07
benchmark_floyd-warshall,2.1697867430706928e-07
benchmark_deriche,2.315235166556751e-08
num_while_loops,0.0
