experiment,evaluation,target,model,feature_set,reduction,scaler,benchmark_onehot,mae,rmse,r2,relative_mae,rows,features,normalized_target
baseline,random_split,openroad_synth_chip_area,linear_regression,all_direct_features,none,default,,6931.326811527091,8621.093950527416,0.6913888610762806,,18.0,66.0,
baseline,random_split,openroad_synth_chip_area,random_forest,all_direct_features,none,default,,12572.424297999958,17819.518472560034,-0.3184958576789758,,18.0,66.0,
baseline,random_split,openroad_synth_chip_area,gradient_boosting,all_direct_features,none,default,,12805.642481697792,18813.48509726696,-0.4696886791461496,,18.0,66.0,
baseline,random_split,openroad_critical_path_delay,linear_regression,all_direct_features,none,default,,0.8712395485720512,1.0777053847466955,0.1890230656272639,,18.0,66.0,
baseline,random_split,openroad_critical_path_delay,random_forest,all_direct_features,none,default,,0.8914454000000009,1.0288712969564275,0.2608535423586025,,18.0,66.0,
baseline,random_split,openroad_critical_path_delay,gradient_boosting,all_direct_features,none,default,,1.1425906527927407,1.3744203811036078,-0.3190084261038017,,18.0,66.0,
baseline,random_split,openroad_total_power,linear_regression,all_direct_features,none,default,,0.1027955965422225,0.115169133266049,-13.490301681620018,,18.0,66.0,
baseline,random_split,openroad_total_power,random_forest,all_direct_features,none,default,,0.0662888200000001,0.0761015818859439,-5.326923729714471,,18.0,66.0,
baseline,random_split,openroad_total_power,gradient_boosting,all_direct_features,none,default,,0.1231251545042681,0.1462356784659519,-22.36210218665638,,18.0,66.0,
baseline,kfold,openroad_synth_chip_area,linear_regression,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,kfold,openroad_synth_chip_area,random_forest,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,kfold,openroad_synth_chip_area,gradient_boosting,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,kfold,openroad_critical_path_delay,linear_regression,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,kfold,openroad_critical_path_delay,random_forest,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,kfold,openroad_critical_path_delay,gradient_boosting,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,kfold,openroad_total_power,linear_regression,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,kfold,openroad_total_power,random_forest,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,kfold,openroad_total_power,gradient_boosting,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,leave_one_benchmark_out,openroad_synth_chip_area,linear_regression,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,leave_one_benchmark_out,openroad_synth_chip_area,random_forest,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,leave_one_benchmark_out,openroad_synth_chip_area,gradient_boosting,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,leave_one_benchmark_out,openroad_critical_path_delay,linear_regression,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,leave_one_benchmark_out,openroad_critical_path_delay,random_forest,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,leave_one_benchmark_out,openroad_critical_path_delay,gradient_boosting,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,leave_one_benchmark_out,openroad_total_power,linear_regression,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,leave_one_benchmark_out,openroad_total_power,random_forest,all_direct_features,none,default,,,,,,18.0,66.0,
baseline,leave_one_benchmark_out,openroad_total_power,gradient_boosting,all_direct_features,none,default,,,,,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,ridge,all_features,all_features,standard,,7015.522959719901,8783.71463758239,0.6796363171137645,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,ridge,all_features,all_features,standard,,15075.129828931127,19508.09518583901,-3.551689883537938,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,random_forest,all_features,all_features,standard,,13051.562928138876,18007.3923998852,-0.3464446288997265,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,random_forest,all_features,all_features,standard,,10920.727995912965,12692.0475852506,-1.25333544360101,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gradient_boosting,all_features,all_features,standard,,13013.568596785351,19277.710842721743,-0.5431131240690421,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gradient_boosting,all_features,all_features,standard,,11338.506161626228,13610.020634192802,-1.4208317686783103,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gaussian_process,all_features,all_features,standard,,14252.214605386203,20262.86542000063,-0.7048593721233773,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gaussian_process,all_features,all_features,standard,,11020.674333122312,13610.193160813442,-0.6908974406924109,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,ridge,select_k_5,select_k_5,standard,,10971.228871142415,12601.12044264233,0.3406664630930729,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,ridge,select_k_5,select_k_5,standard,,9175.470147469556,9877.664432322485,-1.2032385672108976,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,random_forest,select_k_5,select_k_5,standard,,13156.132728544437,17970.52441102277,-0.3409369032092995,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,random_forest,select_k_5,select_k_5,standard,,11316.53682456645,13090.956264193775,-1.7158665908648223,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gradient_boosting,select_k_5,select_k_5,standard,,15492.719850130245,20524.679249129644,-0.749200525576063,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gradient_boosting,select_k_5,select_k_5,standard,,10540.260336064075,12704.2467948654,-0.8326432885838176,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gaussian_process,select_k_5,select_k_5,standard,,19668.790415204705,26572.876270314428,-1.932000041483743,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gaussian_process,select_k_5,select_k_5,standard,,12721.836664045552,14999.165290354103,-1.626761269565706,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,ridge,select_k_10,select_k_10,standard,,11828.396841181104,13737.321209495614,0.2164062782643808,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,ridge,select_k_10,select_k_10,standard,,13550.688155408832,17334.35032546206,-4.061071082305757,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,random_forest,select_k_10,select_k_10,standard,,12399.887805472212,17763.14242184849,-0.3101663388867353,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,random_forest,select_k_10,select_k_10,standard,,10898.32975449305,12552.2969487979,-1.419573573391998,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gradient_boosting,select_k_10,select_k_10,standard,,16328.049902830937,21365.642374315637,-0.8954780121155661,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gradient_boosting,select_k_10,select_k_10,standard,,9262.1145515687,11219.808595372057,-0.4588894622139815,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gaussian_process,select_k_10,select_k_10,standard,,14842.178009196166,20714.939223271467,-0.7817803630559199,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gaussian_process,select_k_10,select_k_10,standard,,11432.811422837063,14347.563729448912,-1.1531465543246953,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,ridge,select_k_15,select_k_15,standard,,14493.894620878293,17445.520421357767,-0.2637311785054999,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,ridge,select_k_15,select_k_15,standard,,21729.34627929852,28435.66009905107,-8.124787572190943,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,random_forest,select_k_15,select_k_15,standard,,13083.09012234999,17791.912123016,-0.3144137425913664,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,random_forest,select_k_15,select_k_15,standard,,10606.451408103694,12365.910560408807,-1.1612638719466049,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gradient_boosting,select_k_15,select_k_15,standard,,14309.715316979797,20687.14182816934,-0.7770016262420536,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gradient_boosting,select_k_15,select_k_15,standard,,9440.175477851622,11636.157568744133,-0.6422543724703067,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gaussian_process,select_k_15,select_k_15,standard,,13161.856598218874,20100.030294393702,-0.6775685102882414,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gaussian_process,select_k_15,select_k_15,standard,,10018.178141964916,12834.239131325796,-0.3589912426717219,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,ridge,pca_3,pca_3,standard,,7885.890190330821,9614.94409391215,0.6161333627869477,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,ridge,pca_3,pca_3,standard,,14871.070666893978,17622.027103558245,-2.983288303808962,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,random_forest,pca_3,pca_3,standard,,14928.2476713611,19597.780400073792,-0.5947793930475398,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,random_forest,pca_3,pca_3,standard,,11593.937372322223,13072.758132510196,-0.8877818130264146,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gradient_boosting,pca_3,pca_3,standard,,13849.327469173038,19739.40024628846,-0.6179114466519839,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gradient_boosting,pca_3,pca_3,standard,,13631.835896124054,16184.706743565905,-4.619192737099947,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gaussian_process,pca_3,pca_3,standard,,14898.69497910309,20464.143998065087,-0.7388975981741126,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gaussian_process,pca_3,pca_3,standard,,9791.636712319929,12742.209050132033,-0.3586349229541277,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,ridge,pca_5,pca_5,standard,,10264.329041800976,13128.582216146036,0.2843140394156508,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,ridge,pca_5,pca_5,standard,,18035.697325043096,22076.429583586178,-4.46830348152333,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,random_forest,pca_5,pca_5,standard,,15369.353033977764,20281.927352557683,-0.7080685135370985,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,random_forest,pca_5,pca_5,standard,,10528.76115753055,12143.731196384262,-0.5189039382925466,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gradient_boosting,pca_5,pca_5,standard,,15308.262532734889,20573.87244482529,-0.757595481016107,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gradient_boosting,pca_5,pca_5,standard,,12522.182606519384,14644.85138734692,-1.8863210087051976,,18.0,66.0,
feature_engineering,random_split,openroad_synth_chip_area,gaussian_process,pca_5,pca_5,standard,,14478.728289988108,20302.552283669746,-0.7115441898968897,,18.0,66.0,
feature_engineering,kfold,openroad_synth_chip_area,gaussian_process,pca_5,pca_5,standard,,9870.311624066942,12671.317058468134,-0.3416681006738075,,18.0,66.0,
