evaluation,target,feature_set,include_benchmark_onehot,model,scaler,reduction,rows,features,test_rows,mae,rmse,r2,relative_mae,folds,mae_std,rmse_std,r2_std,relative_mae_std,groups,error
random_split,openroad_synth_chip_area,code_only,False,ridge_a0.1,standard,none,18.0,18.0,5.0,15774.66461672014,18617.925302174448,-0.43929364704447127,0.30374912639162494,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,ridge_a0.1,standard,none,18.0,18.0,,14069.196746901865,15964.681761437983,-2.100681685199015,0.3595077663333318,5.0,5093.901680149955,5882.821732853688,1.6370089577165776,0.18309843993846955,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,ridge_a0.1,standard,none,18.0,18.0,,12476.930904599245,12476.930904599245,0.0,0.4939027245198104,,11249.818737600737,11249.818737600737,,0.8403762217838276,17.0,
random_split,openroad_synth_chip_area,code_only,False,ridge_a1,standard,none,18.0,18.0,5.0,13256.137202482112,15772.34170413535,-0.032949753150647965,0.25525361029315224,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,ridge_a1,standard,none,18.0,18.0,,13344.870613463121,15543.679998371406,-3.142872794489354,0.3370539647851326,5.0,2280.003363654102,3668.384128650442,3.805183744565965,0.1106402664067898,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,ridge_a1,standard,none,18.0,18.0,,12380.7310256888,12380.7310256888,0.0,0.46481105040867005,,9052.255998533092,9052.255998533092,,0.7463169696575033,17.0,
random_split,openroad_synth_chip_area,code_only,False,ridge_a10,standard,none,18.0,18.0,5.0,10039.665471063408,11839.234854217382,0.4179850868560737,0.19331882421559404,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,ridge_a10,standard,none,18.0,18.0,,11138.400697554842,12372.109707471052,-2.0347080599173224,0.29369581854559185,5.0,3432.235467185692,3801.412547337377,3.0430728179723068,0.17053275225986989,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,ridge_a10,standard,none,18.0,18.0,,9383.523310816392,9383.523310816392,0.0,0.31981209665862365,,7598.697440021193,7598.697440021193,,0.5613256494920997,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a0.001_l10.2,standard,none,18.0,18.0,5.0,18385.86133138781,22350.752029209347,-1.074297872886281,0.3540290366266925,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a0.001_l10.2,standard,none,18.0,18.0,,17485.610245632477,20640.11582839788,-4.406577601916109,0.45783643083224,5.0,5587.709807806351,8614.894737860803,3.0631986140640004,0.26222723497003003,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a0.001_l10.2,standard,none,18.0,18.0,,13141.535474377302,13141.535474377302,0.0,0.5019409022056555,,15618.004105676851,15618.004105676851,,0.865018625197528,17.0,
random_split,openroad_synth_chip_area,code_only,False,elasticnet_a0.001_l10.5,standard,none,18.0,18.0,5.0,19148.113917788964,23531.634002151837,-1.2992754983852222,0.368706594776721,,,,,,,
kfold,openroad_synth_chip_area,code_only,False,elasticnet_a0.001_l10.5,standard,none,18.0,18.0,,19123.21973164429,23977.108205354307,-6.348693708253818,0.5049251071373815,5.0,6026.191297147361,12062.724717894189,4.214794848733797,0.3010791245893765,,
groupkfold_by_benchmark,openroad_synth_chip_area,code_only,False,elasticnet_a0.001_l10.5,standard,none,18.0,18.0,,13737.71494841426,13737.71494841426,0.0,0.5193808825913603,,17713.110339797197,17713.110339797197,,0.9236561694602992,17.0,
