evaluation,target,model,rows,features,mae,rmse,r2,folds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,benchmarks
random_split,openroad_synth_chip_area,linear_regression,18,66,6931.326811527091,8621.093950527416,0.6913888610762806,,,,,,,,
random_split,openroad_synth_chip_area,random_forest,18,66,12572.424297999958,17819.518472560034,-0.3184958576789758,,,,,,,,
random_split,openroad_synth_chip_area,gradient_boosting,18,66,12805.642481697792,18813.485097266956,-0.46968867914614965,,,,,,,,
random_split,openroad_critical_path_delay,linear_regression,18,66,0.8712395485720512,1.0777053847466957,0.1890230656272639,,,,,,,,
random_split,openroad_critical_path_delay,random_forest,18,66,0.8914454000000009,1.0288712969564275,0.2608535423586025,,,,,,,,
random_split,openroad_critical_path_delay,gradient_boosting,18,66,1.1425906527927407,1.3744203811036078,-0.31900842610380176,,,,,,,,
random_split,openroad_total_power,linear_regression,18,66,0.10279559654222252,0.11516913326604905,-13.490301681620018,,,,,,,,
random_split,openroad_total_power,random_forest,18,66,0.06628882000000016,0.07610158188594399,-5.326923729714471,,,,,,,,
random_split,openroad_total_power,gradient_boosting,18,66,0.12312515450426817,0.14623567846595192,-22.36210218665638,,,,,,,,
kfold,openroad_synth_chip_area,linear_regression,18,66,,,,5.0,15140.290672863344,14242.465766523028,19631.424244543363,18629.553860845004,-3.6442124072694093,4.890224769537289,
kfold,openroad_synth_chip_area,random_forest,18,66,,,,5.0,10520.152015333328,5427.295379911001,12337.87305394529,7046.853377269692,-0.7688037118266106,1.1546053848784426,
kfold,openroad_synth_chip_area,gradient_boosting,18,66,,,,5.0,10179.232459147748,5194.9602463044,12646.586776471968,6613.0142009125375,-1.3489741071777355,2.1271600411605056,
kfold,openroad_critical_path_delay,linear_regression,18,66,,,,5.0,2.6503583982605967,2.5201446527204365,3.175757259545625,2.9628711520842055,-132.0532104908425,173.40949682834707,
kfold,openroad_critical_path_delay,random_forest,18,66,,,,5.0,1.2666296666666677,0.651937768871812,1.3461671408491136,0.6289834854355849,-73.8003930546458,151.6984524852583,
kfold,openroad_critical_path_delay,gradient_boosting,18,66,,,,5.0,1.1402794249149777,0.8046563724097883,1.2861629774871826,0.822084624480377,-88.44674850856936,183.92500066102286,
kfold,openroad_total_power,linear_regression,18,66,,,,5.0,0.0561901586116544,0.04541026144012335,0.06690055647836209,0.05673973798058702,-144.5336208566126,192.84291405975125,
kfold,openroad_total_power,random_forest,18,66,,,,5.0,0.04411471833333337,0.036614204159018296,0.056545001698291575,0.05683332771186114,-148.58177588851598,267.6553596272427,
kfold,openroad_total_power,gradient_boosting,18,66,,,,5.0,0.05081959321818082,0.055890942919531034,0.06636809167457211,0.06707417456757532,-97.12905749804762,134.34915805123413,
leave_one_benchmark_out,openroad_synth_chip_area,linear_regression,18,66,,,,,10299.136930905526,15180.089085276255,10299.136930905526,15180.089085276255,0.0,,17.0
leave_one_benchmark_out,openroad_synth_chip_area,random_forest,18,66,,,,,8857.543231764708,6833.1096507822585,8857.543231764708,6833.1096507822585,0.0,,17.0
leave_one_benchmark_out,openroad_synth_chip_area,gradient_boosting,18,66,,,,,8431.758156564005,4801.408722642174,8431.758156564005,4801.408722642174,0.0,,17.0
leave_one_benchmark_out,openroad_critical_path_delay,linear_regression,18,66,,,,,1.6257423772471808,1.7659910764656979,1.6257975753190779,1.766020967077017,-1345.3673405388913,,17.0
leave_one_benchmark_out,openroad_critical_path_delay,random_forest,18,66,,,,,1.1021496176470587,0.8039569308252097,1.1022047668050756,0.8040608499808021,-1347.7558006758034,,17.0
leave_one_benchmark_out,openroad_critical_path_delay,gradient_boosting,18,66,,,,,0.9084155187433628,0.8814558858796425,0.9084686868912615,0.8815657156542248,-1450.097764907963,,17.0
leave_one_benchmark_out,openroad_total_power,linear_regression,18,66,,,,,0.029396145389850956,0.03991861167281168,0.03135447667244397,0.04755654797487734,-2.389292828423061,,17.0
leave_one_benchmark_out,openroad_total_power,random_forest,18,66,,,,,0.024564194117647063,0.04157599720248707,0.026508030068660548,0.04916927823923873,-2.431897096230796,,17.0
leave_one_benchmark_out,openroad_total_power,gradient_boosting,18,66,,,,,0.022055313400481856,0.043395163054999984,0.024005069399539985,0.050815902219743934,-2.414381086903693,,17.0
