evaluation,normalized_target,original_target,model,scaler,reduction,rows,features,test_rows,mae_original,rmse_original,r2_original,relative_mae_original,include_benchmark_onehot,folds,mae_original_std,rmse_original_std,r2_original_std,relative_mae_original_std,groups
random_split,area_ratio,openroad_synth_chip_area,ridge_a0.1,standard,none,18,64,5.0,8673.754767538798,9275.63177404553,0.6427486812583199,0.1670175244412198,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a0.1,standard,none,18,64,,10831.311633509855,12541.727412571166,-1.9252461249199602,0.2597453171073661,False,5.0,4419.681306157395,5475.615106003528,3.5553048046966933,0.08233269424263778,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,ridge_a0.1,standard,none,18,64,,18460.537178234455,18460.537178234455,0.0,0.5674215159798314,False,,22937.754570941768,22937.754570941768,,0.938006152200983,17.0
random_split,area_ratio,openroad_synth_chip_area,ridge_a1,standard,none,18,64,5.0,8809.224476789885,9225.748872230244,0.6465808329280869,0.16962606204486116,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a1,standard,none,18,64,,9206.217282119149,10084.182892303226,-0.7511499577150629,0.22709769186332252,False,5.0,3606.9626085634195,3752.6416152165452,1.8967252330157616,0.08916707656045596,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,ridge_a1,standard,none,18,64,,10552.375088351499,10552.375088351499,0.0,0.298417406801235,False,,5593.988077388257,5593.988077388257,,0.21416124145751014,17.0
random_split,area_ratio,openroad_synth_chip_area,ridge_a10,standard,none,18,64,5.0,7509.853885228373,7668.470633187857,0.7558232219067592,0.14460602569952805,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,ridge_a10,standard,none,18,64,,7945.330519479428,9135.480203258643,-0.49039264750504985,0.19493451788125676,False,5.0,4276.4449484342185,5657.819270028187,1.3615450883733686,0.09904856129646837,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,ridge_a10,standard,none,18,64,,8441.391421403085,8441.391421403085,0.0,0.25781442899389206,False,,7334.509843387832,7334.509843387832,,0.3010646032514947,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.2,standard,none,18,64,5.0,6794.269153120507,7857.0905777658,0.7436635526541253,0.1308270806304479,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.2,standard,none,18,64,,13060.06668174931,15828.618577224945,-3.248828948338752,0.30793551047586537,False,5.0,6399.41504126121,8230.08586273262,5.2305595436576695,0.11067799250808487,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.2,standard,none,18,64,,19817.360710240988,19817.360710240988,0.0,0.6084323048583543,False,,26080.195678798806,26080.195678798806,,1.0399310347742776,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.5,standard,none,18,64,5.0,7820.054097869905,8466.913883678235,0.7023285886091151,0.1505790873072209,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.5,standard,none,18,64,,14099.542672893143,17506.654952465222,-3.661319201816146,0.32665636511751045,False,5.0,8137.730444626929,10728.582568231292,5.034047561391201,0.13305470294748603,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.5,standard,none,18,64,,15632.065004717058,15632.065004717058,0.0,0.4246540462886058,False,,15101.824167528624,15101.824167528624,,0.41095348995637043,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.8,standard,none,18,64,5.0,10834.152699588532,12331.729970269305,0.36855598083770413,0.20861707666389145,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.8,standard,none,18,64,,15435.401365066084,19796.517927687935,-4.124880470902817,0.36554356432779506,False,5.0,8514.594299007165,11029.039461186214,4.423750838591528,0.14776173708983859,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.001_l10.8,standard,none,18,64,,16056.267302414371,16056.267302414371,0.0,0.4063983122694143,False,,15442.525936961603,15442.525936961603,,0.32615724458901796,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.2,standard,none,18,64,5.0,8024.978669029364,8569.62624509319,0.6950626628516564,0.15452501332075322,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.2,standard,none,18,64,,12320.501195037488,14421.107041739418,-2.288766455473179,0.2912105519452707,False,5.0,5886.2444294832885,7414.3274745901035,3.500688411982009,0.10122853824606287,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.2,standard,none,18,64,,14342.730982854637,14342.730982854637,0.0,0.3953825040906789,False,,9063.9932892278,9063.9932892278,,0.29710117615654885,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.5,standard,none,18,64,5.0,11245.988384014156,12051.435043388998,0.39693465859709776,0.21654718056154185,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.5,standard,none,18,64,,14035.212573451834,16998.61936473515,-3.0113670161203014,0.3260006142965112,False,5.0,8186.754359771482,10934.605398717917,3.666531907389002,0.1316032135815824,
groupkfold_by_benchmark,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.5,standard,none,18,64,,14860.477802959469,14860.477802959469,0.0,0.4013808374855941,False,,10171.885629894145,10171.885629894145,,0.28845300664539847,17.0
random_split,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.8,standard,none,18,64,5.0,11977.536731866456,12573.857876439177,0.34351631754228096,0.23063351310631414,False,,,,,,
kfold,area_ratio,openroad_synth_chip_area,elasticnet_a0.01_l10.8,standard,none,18,64,,15085.33581581298,18503.90988428834,-3.425833129150292,0.3488334236465523,False,5.0,9526.711836175882,12811.619646046845,3.720111523420827,0.1544154839321737,
