evaluation,target,reduction,model,rows,features_before,test_rows,mae,rmse,r2,folds,mae_std,rmse_std,r2_std
random_split,openroad_synth_chip_area,all_features,ridge,18,66,5.0,7015.522959719901,8783.71463758239,0.6796363171137645,,,,
kfold,openroad_synth_chip_area,all_features,ridge,18,66,,15075.129828931127,19508.09518583901,-3.551689883537938,5.0,14066.816373413241,18389.794632699744,4.785642854890094
random_split,openroad_synth_chip_area,all_features,random_forest,18,66,5.0,13051.562928138877,18007.3923998852,-0.3464446288997265,,,,
kfold,openroad_synth_chip_area,all_features,random_forest,18,66,,10920.727995912963,12692.0475852506,-1.25333544360101,5.0,5047.377919737648,6835.401375818827,2.1110408263523928
random_split,openroad_synth_chip_area,all_features,gradient_boosting,18,66,5.0,13013.568596785353,19277.710842721743,-0.5431131240690421,,,,
kfold,openroad_synth_chip_area,all_features,gradient_boosting,18,66,,11338.506161626228,13610.020634192802,-1.4208317686783105,5.0,5722.5518921786315,7454.901543393063,1.6794165452970855
random_split,openroad_synth_chip_area,all_features,gaussian_process,18,66,5.0,14252.214605386203,20262.86542000063,-0.7048593721233773,,,,
kfold,openroad_synth_chip_area,all_features,gaussian_process,18,66,,11020.674333122312,13610.193160813442,-0.6908974406924109,5.0,6536.538582683193,8893.850492765534,0.727763349335726
random_split,openroad_synth_chip_area,select_k_5,ridge,18,66,5.0,10971.228871142415,12601.12044264233,0.3406664630930729,,,,
kfold,openroad_synth_chip_area,select_k_5,ridge,18,66,,9175.470147469556,9877.664432322485,-1.2032385672108976,5.0,2027.3218870841156,2303.399074538028,2.6182609207095853
random_split,openroad_synth_chip_area,select_k_5,random_forest,18,66,5.0,13156.132728544437,17970.52441102277,-0.3409369032092995,,,,
kfold,openroad_synth_chip_area,select_k_5,random_forest,18,66,,11316.53682456645,13090.956264193777,-1.7158665908648225,5.0,4908.648694891419,6231.915329025242,2.368996207359559
random_split,openroad_synth_chip_area,select_k_5,gradient_boosting,18,66,5.0,15492.719850130243,20524.679249129644,-0.749200525576063,,,,
kfold,openroad_synth_chip_area,select_k_5,gradient_boosting,18,66,,10540.260336064075,12704.246794865401,-0.8326432885838176,5.0,6887.195668359916,8116.429903548338,1.4822220498052725
random_split,openroad_synth_chip_area,select_k_5,gaussian_process,18,66,5.0,19668.790415204705,26572.876270314428,-1.932000041483743,,,,
kfold,openroad_synth_chip_area,select_k_5,gaussian_process,18,66,,12721.836664045553,14999.165290354105,-1.626761269565706,5.0,10267.94972051253,11883.020043730101,2.022613200843314
random_split,openroad_synth_chip_area,select_k_10,ridge,18,66,5.0,11828.396841181104,13737.321209495614,0.21640627826438086,,,,
kfold,openroad_synth_chip_area,select_k_10,ridge,18,66,,13550.688155408832,17334.35032546206,-4.061071082305757,5.0,6228.29041082766,12496.41612180424,5.2965023934353415
random_split,openroad_synth_chip_area,select_k_10,random_forest,18,66,5.0,12399.887805472212,17763.14242184849,-0.3101663388867353,,,,
kfold,openroad_synth_chip_area,select_k_10,random_forest,18,66,,10898.32975449305,12552.2969487979,-1.4195735733919979,5.0,4499.867698474026,6272.112942025597,2.1021341108986413
random_split,openroad_synth_chip_area,select_k_10,gradient_boosting,18,66,5.0,16328.049902830937,21365.642374315634,-0.8954780121155661,,,,
kfold,openroad_synth_chip_area,select_k_10,gradient_boosting,18,66,,9262.114551568699,11219.808595372057,-0.4588894622139815,5.0,6208.587468147953,7549.595960578768,0.8595432447446398
random_split,openroad_synth_chip_area,select_k_10,gaussian_process,18,66,5.0,14842.178009196166,20714.939223271467,-0.7817803630559199,,,,
kfold,openroad_synth_chip_area,select_k_10,gaussian_process,18,66,,11432.811422837063,14347.563729448913,-1.1531465543246953,5.0,6821.637916439685,8320.305706501927,0.8826077955602122
