feature,importance
min_slack,0.3580491976921479
num_assignments,0.24307047548728056
area_est,0.19080816088832334
benchmark_symm,0.05228375111408602
performance_conflicts,0.04167949937423029
num_mul_ops,0.03590726343734388
num_sub_ops,0.011960854946200753
num_var_decls,0.009031690705052865
num_arithmetic_ops,0.006421945730861141
num_div_ops,0.005592211743716343
benchmark_seidel-2d,0.005274892283121175
yosys_num_wire_bits,0.003897383350150464
source_lines,0.003722951754674972
yosys_total_cells,0.0036318857839398675
yosys_total_wire_bits,0.0036161749442497827
flipflops,0.003284155269366977
modules_instantiated,0.0030587894136552174
states,0.002629016863477774
yosys_total_pub_wire_bits,0.002177395271062299
benchmark_syr2k,0.002171529403812134
num_total_loops,0.0018823580156509415
frequency_mhz,0.0018717873270720966
yosys_num_pub_wire_bits,0.001583561175640022
control_steps,0.0013702535752938374
mux_area,0.0012666357910128016
benchmark_gemver,0.000992931827582831
num_for_loops,0.0006596322315589901
total_area,0.0005798915229745442
yosys_num_pub_wires,0.0005336046051706435
num_array_accesses,0.0002417002876176127
num_if_statements,0.00017380483286440408
benchmark_jacobi-1d,0.00010508434931235501
num_add_ops,7.621549790626368e-05
benchmark_floyd-warshall,7.589110500110554e-05
openroad_clock_constraint,6.633238956561168e-05
yosys_num_wires,4.6086897784387914e-05
yosys_total_modules,4.5974340253224004e-05
registers,4.211210861109718e-05
benchmark_atax,3.444751592248361e-05
yosys_total_pub_wires,2.728623145583136e-05
max_loop_depth,2.2955147761307753e-05
benchmark_mvt,1.2355716450938472e-05
yosys_total_wires,1.2101512131377264e-05
benchmark_nussinov,7.484271131448177e-06
num_function_calls,1.0581381995510013e-07
benchmark_trmm,9.659955476308124e-08
benchmark_syrk,8.38246992767243e-08
benchmark_gemm,2.944613147590638e-11
dsp_coeff,0.0
clock_period,0.0
yosys_num_memory_bits,0.0
yosys_num_memories,0.0
num_while_loops,0.0
yosys_total_memory_bits,0.0
yosys_total_processes,0.0
yosys_num_cells,0.0
yosys_num_processes,0.0
yosys_total_memories,0.0
benchmark_bicg,0.0
benchmark_3mm,0.0
benchmark_2mm,0.0
benchmark_gesummv,0.0
benchmark_jacobi-2d,0.0
dataset_size_SMALL,0.0
mem_policy_ALL_BRAM,0.0
opt_level_O0,0.0
