feature,importance
area_est,0.13026200500294682
min_slack,0.10279331590146555
performance_conflicts,0.0817027798692289
num_var_decls,0.0742479712045336
states,0.07037907883290524
num_assignments,0.049976041154468034
registers,0.04635191962396196
modules_instantiated,0.041410774216994184
num_array_accesses,0.03981832235492811
num_mul_ops,0.03445289101736403
total_area,0.024431082208319042
control_steps,0.021221375383888894
source_lines,0.020181317219323397
num_function_calls,0.020070714259665903
frequency_mhz,0.019596656202370805
num_add_ops,0.017500103976286995
yosys_num_pub_wire_bits,0.01504215634637459
yosys_total_pub_wire_bits,0.014481528305289955
num_total_loops,0.013765036849432413
num_for_loops,0.012285655629882495
yosys_total_wire_bits,0.01216457933355919
flipflops,0.01159053248729875
num_arithmetic_ops,0.011490200456239122
yosys_num_wires,0.01124677288879277
yosys_num_pub_wires,0.010773636392659998
yosys_total_pub_wires,0.01011107274605396
mux_area,0.009615359897433435
num_sub_ops,0.008709926211001036
yosys_total_wires,0.008691472188104099
openroad_clock_constraint,0.007463341269609901
benchmark_syr2k,0.006688501076517987
yosys_total_modules,0.006661295538435557
num_if_statements,0.0044348638336934735
benchmark_mvt,0.004230027962430383
benchmark_syrk,0.004002873346416739
yosys_total_cells,0.003900207356885893
benchmark_gemm,0.0031365858905473337
yosys_num_wire_bits,0.0029344621971757845
num_div_ops,0.002912131010737862
benchmark_gemver,0.0028653658691968746
max_loop_depth,0.001988259027992266
benchmark_seidel-2d,0.0016474607410839628
benchmark_jacobi-2d,0.0014763937890095544
benchmark_jacobi-1d,0.0010892385724130453
benchmark_nussinov,0.0001297303946994836
benchmark_atax,3.322393468768675e-05
benchmark_floyd-warshall,2.3824262848941503e-05
benchmark_symm,1.2328494737254832e-05
benchmark_trmm,5.607270106741825e-06
clock_period,0.0
dsp_coeff,0.0
yosys_num_memory_bits,0.0
num_while_loops,0.0
yosys_num_memories,0.0
yosys_total_processes,0.0
yosys_num_cells,0.0
yosys_num_processes,0.0
yosys_total_memories,0.0
benchmark_bicg,0.0
benchmark_3mm,0.0
benchmark_2mm,0.0
yosys_total_memory_bits,0.0
benchmark_gesummv,0.0
dataset_size_SMALL,0.0
mem_policy_ALL_BRAM,0.0
opt_level_O0,0.0
