feature,importance
min_slack,0.5182632945998916
area_est,0.25808904587547427
num_sub_ops,0.029743146190315657
max_loop_depth,0.02780557245630661
num_var_decls,0.026928009809830383
total_area,0.01711213747342024
modules_instantiated,0.016757393940236388
num_add_ops,0.015587085381755347
num_mul_ops,0.01203231843046126
openroad_clock_constraint,0.009189408842971751
source_lines,0.008606707266554324
performance_conflicts,0.008389688984012626
mux_area,0.007958466992190855
yosys_total_cells,0.007443437164154673
flipflops,0.005558132869665259
num_assignments,0.005096827862452725
benchmark_atax,0.0048190322137901444
num_array_accesses,0.0046101155119455325
frequency_mhz,0.004540807182402355
yosys_num_pub_wires,0.0034086476655622697
benchmark_syrk,0.001732632014964622
control_steps,0.0016818658617909392
num_function_calls,0.0010440156339151562
benchmark_syr2k,0.0008341441008811615
registers,0.000674215654250657
benchmark_floyd-warshall,0.0006516353315523014
states,0.0003456079027416617
num_div_ops,0.00032889128288968
num_arithmetic_ops,0.0002064688644576428
benchmark_jacobi-1d,0.00016125286932533144
num_if_statements,0.00014626850122845868
num_for_loops,0.00010157740963185383
num_total_loops,3.8716878256756755e-05
yosys_total_wires,2.0593159127452952e-05
benchmark_nussinov,1.9439359650302e-05
yosys_total_wire_bits,1.6597196869612562e-05
benchmark_jacobi-2d,1.0441673614248301e-05
benchmark_seidel-2d,9.927971439138644e-06
yosys_total_modules,7.840279159091029e-06
yosys_total_pub_wire_bits,7.523562564890505e-06
yosys_num_wire_bits,6.0426969627536285e-06
benchmark_gemm,4.754168281105059e-06
yosys_num_wires,3.419313591531851e-06
benchmark_gemver,2.994253555250376e-06
benchmark_symm,2.883625679923554e-06
yosys_total_pub_wires,9.737202242822271e-07
dsp_coeff,0.0
clock_period,0.0
yosys_num_pub_wire_bits,0.0
num_while_loops,0.0
yosys_num_memory_bits,0.0
yosys_num_memories,0.0
benchmark_2mm,0.0
yosys_total_memory_bits,0.0
yosys_total_processes,0.0
yosys_num_cells,0.0
yosys_num_processes,0.0
yosys_total_memories,0.0
benchmark_bicg,0.0
benchmark_3mm,0.0
benchmark_mvt,0.0
benchmark_gesummv,0.0
benchmark_trmm,0.0
dataset_size_SMALL,0.0
mem_policy_ALL_BRAM,0.0
opt_level_O0,0.0
