feature,importance
min_slack,0.20619979194700183
area_est,0.18638028390427583
num_mul_ops,0.05420945520262541
source_lines,0.05273988482431743
total_area,0.05194395756773793
num_sub_ops,0.050658445405067434
control_steps,0.040730639692904275
modules_instantiated,0.03896966525751715
num_arithmetic_ops,0.03308575960288489
num_function_calls,0.032325603530024415
states,0.031010875306057534
frequency_mhz,0.026734879646257446
num_add_ops,0.022932280484790367
num_div_ops,0.01892050652483255
num_assignments,0.01732468095537057
mux_area,0.016133136535175053
num_if_statements,0.01260470534586517
registers,0.011999976817559644
num_array_accesses,0.01169702164072096
num_var_decls,0.011112481685601479
performance_conflicts,0.010954488906674326
num_total_loops,0.01077551427514626
flipflops,0.00986310096134885
num_for_loops,0.009341746655657478
max_loop_depth,0.006561638168734571
benchmark_floyd-warshall,0.006444007026707108
benchmark_atax,0.004644676920089632
benchmark_syrk,0.0022811979355336427
yosys_total_cells,0.0013201663481987602
yosys_total_wires,0.0012812830307271468
yosys_total_wire_bits,0.0011663949054951598
yosys_num_pub_wires,0.0011071717656980006
yosys_num_wire_bits,0.00105790021408037
benchmark_syr2k,0.0009929653020747757
yosys_total_pub_wires,0.0007781343311428928
yosys_total_modules,0.0007705876887163321
benchmark_jacobi-1d,0.0006318300097076263
yosys_num_wires,0.0006193918480133899
benchmark_symm,0.0006081405652061108
benchmark_gemm,0.000433484915142198
openroad_clock_constraint,0.00021114528759796095
benchmark_mvt,0.00017522765176236876
benchmark_trmm,0.00013135385055694883
benchmark_gemver,4.942926691604738e-05
benchmark_seidel-2d,3.837669732647901e-05
benchmark_nussinov,2.541550157171908e-05
yosys_total_pub_wire_bits,1.3969822365696414e-05
yosys_num_pub_wire_bits,5.113641778337714e-06
benchmark_jacobi-2d,2.114629442461967e-06
clock_period,0.0
dsp_coeff,0.0
yosys_num_memory_bits,0.0
num_while_loops,0.0
yosys_num_memories,0.0
yosys_total_processes,0.0
yosys_num_cells,0.0
yosys_num_processes,0.0
yosys_total_memories,0.0
benchmark_bicg,0.0
benchmark_3mm,0.0
benchmark_2mm,0.0
yosys_total_memory_bits,0.0
benchmark_gesummv,0.0
dataset_size_SMALL,0.0
mem_policy_ALL_BRAM,0.0
opt_level_O0,0.0
