feature,importance
total_area,0.20296438784931833
yosys_num_wire_bits,0.1901266466016918
num_var_decls,0.17032655668459992
yosys_total_wires,0.15371188838404903
area_est,0.1289267005288328
yosys_total_modules,0.07857539601750724
yosys_num_pub_wires,0.02853438646022505
yosys_num_pub_wire_bits,0.015136804233567742
num_for_loops,0.014304593799074969
yosys_total_cells,0.008823296103001059
openroad_clock_constraint,0.003491489475947969
modules_instantiated,0.001646995629113302
yosys_total_pub_wires,0.0009992386979204943
num_total_loops,0.0008422714496480823
benchmark_syrk,0.00042501233480303686
num_add_ops,0.000365719394859562
benchmark_gemm,0.00027908317894990157
num_array_accesses,0.00023827912866427795
yosys_total_wire_bits,6.318977459849972e-05
frequency_mhz,3.773989797659149e-05
max_loop_depth,3.7115958779781405e-05
benchmark_jacobi-1d,2.743001359545117e-05
yosys_total_pub_wire_bits,2.2128924818974462e-05
control_steps,2.0525535410447437e-05
benchmark_floyd-warshall,1.6288727110487458e-05
states,1.092778247173753e-05
num_function_calls,1.0239104584892141e-05
num_arithmetic_ops,8.103681579728041e-06
performance_conflicts,7.434907819811253e-06
flipflops,6.7236292613609864e-06
mux_area,6.51002704703442e-06
num_assignments,1.767248833173319e-06
num_sub_ops,1.5821098254518432e-06
registers,1.2197634671651169e-06
yosys_num_wires,9.026650052755992e-07
num_mul_ops,8.375859441239207e-07
source_lines,2.788245261746732e-07
benchmark_syr2k,1.2962932333760823e-07
num_if_statements,1.272183660162341e-07
num_div_ops,3.789770701165877e-08
min_slack,1.1487081282883008e-08
benchmark_mvt,1.0800602736190588e-09
benchmark_seidel-2d,5.730312571767781e-10
clock_period,0.0
dsp_coeff,0.0
num_while_loops,0.0
yosys_num_memory_bits,0.0
yosys_num_memories,0.0
yosys_total_memories,0.0
yosys_num_cells,0.0
benchmark_bicg,0.0
benchmark_atax,0.0
benchmark_3mm,0.0
benchmark_2mm,0.0
yosys_total_memory_bits,0.0
yosys_total_processes,0.0
yosys_num_processes,0.0
benchmark_gesummv,0.0
benchmark_nussinov,0.0
benchmark_jacobi-2d,0.0
benchmark_gemver,0.0
benchmark_symm,0.0
benchmark_trmm,0.0
dataset_size_SMALL,0.0
mem_policy_ALL_BRAM,0.0
opt_level_O0,0.0
