,count,mean,std,min,25%,50%,75%,max
openroad_tns,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openroad_wns,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openroad_worst_slack,18.0,5.857222222222223,1.914396865719625,0.01,5.282500000000001,5.365,7.550000000000001,8.29
openroad_clock_period_min,18.0,3.698333333333333,1.3104209022968425,1.71,2.1525,4.585,4.705,4.94
openroad_fmax,18.0,316.9766666666667,141.1120132043627,202.23,212.42249999999999,218.26999999999998,464.9475,584.45
openroad_critical_path_slack,18.0,5.857127777777778,1.9134796664424967,0.0143,5.285,5.368399999999999,7.55245,8.289
openroad_setup_violation_count,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openroad_hold_violation_count,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openroad_max_slew_violation_count,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openroad_max_cap_violation_count,18.0,0.16666666666666666,0.5144957554275265,0.0,0.0,0.0,0.0,2.0
