evaluation,target,model,reduction,use_log_transform,rows,features,test_rows,mae,rmse,r2,relative_mae,feature_mode,include_benchmark_onehot,folds,mae_std,rmse_std,r2_std,relative_mae_std,groups
random_split,openroad_synth_chip_area,ridge_a0.1,none,False,18,66,5.0,6940.042871075081,8637.809202398861,0.690190982057349,0.13363402712062103,raw,True,,,,,,
kfold,openroad_synth_chip_area,ridge_a0.1,none,False,18,66,,15132.448543477358,19617.747229348217,-3.634577537478215,0.45255116151899843,raw,True,5.0,14223.738652297192,18606.575047353213,4.879772611300841,0.5643098933423994,
groupkfold_by_benchmark,openroad_synth_chip_area,ridge_a0.1,none,False,18,66,,10291.626716667286,10291.626716667286,0.0,0.3503102228938156,raw,True,,15160.373436582153,15160.373436582153,,0.6655248099876058,17.0
random_split,openroad_synth_chip_area,ridge_a1,none,False,18,66,5.0,7015.522959719901,8783.71463758239,0.6796363171137645,0.13508743431138473,raw,True,,,,,,
kfold,openroad_synth_chip_area,ridge_a1,none,False,18,66,,15075.129828931127,19508.09518583901,-3.551689883537938,0.45054791589627097,raw,True,5.0,14066.816373413241,18389.794632699744,4.785642854890094,0.5598897420220119,
groupkfold_by_benchmark,openroad_synth_chip_area,ridge_a1,none,False,18,66,,10231.527642274466,10231.527642274466,0.0,0.34887537054756673,raw,True,,14977.370720989818,14977.370720989818,,0.6596082630147617,17.0
random_split,openroad_synth_chip_area,ridge_a10,none,False,18,66,5.0,7565.573273785184,9916.86630475842,0.5916469929783601,0.1456789306397236,raw,True,,,,,,
kfold,openroad_synth_chip_area,ridge_a10,none,False,18,66,,14732.674006180914,18700.161499696307,-2.955453369131999,0.43778365235357264,raw,True,5.0,12946.465789655229,16451.886657044706,3.982871500834025,0.5285124290349894,
groupkfold_by_benchmark,openroad_synth_chip_area,ridge_a10,none,False,18,66,,9967.141203972682,9967.141203972682,0.0,0.3398405576801912,raw,True,,13154.249879306275,13154.249879306275,,0.5990599319369297,17.0
random_split,openroad_synth_chip_area,elasticnet_a0.001_l10.2,none,False,18,66,5.0,6747.693269224151,8543.132663073331,0.6969452173330296,0.12993023848589666,raw,True,,,,,,
kfold,openroad_synth_chip_area,elasticnet_a0.001_l10.2,none,False,18,66,,14557.70003103149,18267.79583024997,-3.0165554783877577,0.43905077093762507,raw,True,5.0,13835.462789357955,17197.442155907538,4.306154390113886,0.5618846471588861,
groupkfold_by_benchmark,openroad_synth_chip_area,elasticnet_a0.001_l10.2,none,False,18,66,,10108.52162055764,10108.52162055764,0.0,0.3351873686810959,raw,True,,12694.994597977888,12694.994597977888,,0.5689214585826194,17.0
random_split,openroad_synth_chip_area,elasticnet_a0.001_l10.5,none,False,18,66,5.0,4810.993740127492,5474.580462750455,0.8755518262495265,0.09263811188038697,raw,True,,,,,,
kfold,openroad_synth_chip_area,elasticnet_a0.001_l10.5,none,False,18,66,,12798.246825647451,15975.06896068223,-2.3844770714581816,0.38516831388124967,raw,True,5.0,12078.48598289433,15407.737246128689,3.489997736849836,0.48391301538706555,
groupkfold_by_benchmark,openroad_synth_chip_area,elasticnet_a0.001_l10.5,none,False,18,66,,9090.141758708687,9090.141758708687,0.0,0.2958973877564425,raw,True,,9552.102008966951,9552.102008966951,,0.43796085760668085,17.0
random_split,openroad_synth_chip_area,elasticnet_a0.001_l10.8,none,False,18,66,5.0,5898.743443969353,6974.871154438601,0.7979963484264341,0.11358328125815668,raw,True,,,,,,
kfold,openroad_synth_chip_area,elasticnet_a0.001_l10.8,none,False,18,66,,24932.480178200818,33733.10896716539,-14.037070776034676,0.8007397208873375,raw,True,5.0,31554.122919706628,40771.66549062706,20.940903883370076,1.228321581041076,
groupkfold_by_benchmark,openroad_synth_chip_area,elasticnet_a0.001_l10.8,none,False,18,66,,11931.622338879344,11931.622338879344,0.0,0.40557094758270973,raw,True,,28536.325262823568,28536.325262823568,,1.1715779865118943,17.0
random_split,openroad_synth_chip_area,elasticnet_a0.01_l10.2,none,False,18,66,5.0,6940.980511437172,8639.405304440588,0.690076477909283,0.13365208185888489,raw,True,,,,,,
kfold,openroad_synth_chip_area,elasticnet_a0.01_l10.2,none,False,18,66,,15131.431696917343,19615.75372863165,-3.6331039568955483,0.4525088863007153,raw,True,5.0,14219.744051470754,18601.964139765285,4.877903052496598,0.5641875413414725,
groupkfold_by_benchmark,openroad_synth_chip_area,elasticnet_a0.01_l10.2,none,False,18,66,,10289.265455614468,10289.265455614468,0.0,0.3502613862884165,raw,True,,15153.946067253377,15153.946067253377,,0.6653268487992015,17.0
random_split,openroad_synth_chip_area,elasticnet_a0.01_l10.5,none,False,18,66,5.0,6939.895321528034,8636.3414136558,0.6902962623530327,0.13363118597964568,raw,True,,,,,,
kfold,openroad_synth_chip_area,elasticnet_a0.01_l10.5,none,False,18,66,,15134.899398677055,19622.002719941593,-3.636984900243039,0.45261271750740295,raw,True,5.0,14225.87065632176,18609.605478420315,4.881765279119537,0.5643532749807496,
groupkfold_by_benchmark,openroad_synth_chip_area,elasticnet_a0.01_l10.5,none,False,18,66,,10293.478325696115,10293.478325696115,0.0,0.3503663542268955,raw,True,,15166.022490208317,15166.022490208317,,0.6657256809804701,17.0
random_split,openroad_synth_chip_area,elasticnet_a0.01_l10.8,none,False,18,66,5.0,6912.208717038074,8601.263497544838,0.6928069781144306,0.13309806644075786,raw,True,,,,,,
kfold,openroad_synth_chip_area,elasticnet_a0.01_l10.8,none,False,18,66,,15129.327076466177,19622.533818827716,-3.644072898745015,0.4525289234890838,raw,True,5.0,14244.659746122372,18639.056074690514,4.892467813254165,0.5647360448838599,
groupkfold_by_benchmark,openroad_synth_chip_area,elasticnet_a0.01_l10.8,none,False,18,66,,10303.721913789925,10303.721913789925,0.0,0.35069986843249573,raw,True,,15201.541776072145,15201.541776072145,,0.6669264223698169,17.0
