,count,mean,std,min,25%,50%,75%,max
openroad_route_drc_report_count,18.0,1.3333333333333333,0.48507125007266594,1.0,1.0,1.0,2.0,2.0
openroad_route_drc_nonempty_lines,18.0,1.1666666666666667,1.823054966742557,0.0,0.0,0.0,3.0,6.0
openroad_route_drc_violation_keyword_count,18.0,0.3888888888888889,0.6076849889141857,0.0,0.0,0.0,1.0,2.0
openroad_route_drc_has_report,18.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
openroad_def_exists,18.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
openroad_def_units_per_micron,18.0,2000.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0
openroad_def_routed_wirelength_dbu,18.0,70996891918.33333,2799628307.7545424,65262648290.0,69939223090.0,71040992840.0,71976741902.5,77570382450.0
openroad_def_routed_wirelength_microns,18.0,35498445.959166676,1399814.1538772709,32631324.145,34969611.545,35520496.42,35988370.95125,38785191.225
openroad_def_coordinate_pair_count,18.0,1196837.8333333333,158453.89104395823,878152.0,1127083.75,1200939.0,1253024.0,1591851.0
openroad_def_routed_net_count,18.0,27781.61111111111,9576.21879288903,7988.0,24296.5,28749.5,31525.25,50713.0
openroad_route_guide_exists,18.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
openroad_route_guide_nonempty_lines,18.0,281367.1111111111,98113.18341402437,79567.0,240787.5,291359.0,320551.75,515436.0
openroad_route_guide_segment_like_lines,18.0,200996.66666666666,70324.9226042526,56500.0,170888.25,207718.5,229208.5,368630.0
